NMR signal (mV),time (s)
0.297019,0.0
0.29743,0.00075
0.277855,0.0015
0.287437,0.00225
0.313035,0.003
0.265124,0.00375
0.260197,0.0045
0.303316,0.00525
0.267725,0.006
0.255406,0.00675
0.27895,0.0075
0.300441,0.00825
0.249656,0.009
0.236241,0.00975
0.267999,0.0105
0.241443,0.01125
0.250478,0.012
0.241443,0.01275
0.298798,0.0135
0.272243,0.01425
0.253215,0.015
0.249246,0.01575
0.249383,0.0165
0.257048,0.01725
0.24596,0.018
0.276349,0.01875
0.264577,0.0195
0.272106,0.02025
0.265946,0.021
0.256501,0.02175
0.265809,0.0225
0.246782,0.02325
0.248287,0.024
0.258965,0.02475
0.295239,0.0255
0.225838,0.02625
0.262113,0.027
0.254447,0.02775
0.261018,0.0285
0.285384,0.02925
0.241854,0.03
0.284425,0.03075
0.239801,0.0315
0.251025,0.03225
0.280729,0.033
0.243496,0.03375
0.23761,0.0345
0.267315,0.03525
0.258828,0.036
0.242812,0.03675
0.251983,0.0375
0.280456,0.03825
0.25171,0.039
0.244592,0.03975
0.270326,0.0405
0.289353,0.04125
0.272106,0.042
0.276897,0.04275
0.2539,0.0435
0.27279,0.04425
0.247466,0.045
0.298798,0.04575
0.262113,0.0465
0.234188,0.04725
0.266493,0.048
0.286479,0.04875
0.272243,0.0495
0.253626,0.05025
0.266356,0.051
0.250478,0.05175
0.235694,0.0525
0.228713,0.05325
0.258143,0.054
0.246097,0.05475
0.275665,0.0555
0.232682,0.05625
0.280319,0.057
0.257596,0.05775
0.273885,0.0585
0.274843,0.05925
0.268136,0.06
0.240622,0.06075
0.268957,0.0615
0.253489,0.06225
0.242675,0.063
0.22885,0.06375
0.235831,0.0645
0.245413,0.06525
0.264851,0.066
0.245276,0.06675
0.281551,0.0675
0.241443,0.06825
0.23761,0.069
0.278402,0.06975
0.252668,0.0705
0.267041,0.07125
0.252942,0.072
0.252531,0.07275
0.288395,0.0735
0.257048,0.07425
0.23542,0.075
0.271421,0.07575
0.254858,0.0765
0.261429,0.07725
0.253763,0.078
0.265946,0.07875
0.23145,0.0795
0.265535,0.08025
0.242675,0.081
0.259101,0.08175
0.276623,0.0825
0.274159,0.08325
0.242128,0.084
0.250204,0.08475
0.247192,0.0855
0.274433,0.08625
0.266493,0.087
0.288669,0.08775
0.252257,0.0885
0.283878,0.08925
0.254995,0.09
0.242128,0.09075
0.283741,0.0915
0.271558,0.09225
0.25431,0.093
0.220637,0.09375
0.26047,0.0945
0.258691,0.09525
0.261292,0.096
0.23939,0.09675
0.23501,0.0975
0.275117,0.09825
0.24158,0.099
0.265535,0.09975
0.266083,0.1005
0.233504,0.10125
0.2372,0.102
0.282372,0.10275
0.245413,0.1035
0.230082,0.10425
0.264851,0.105
0.252942,0.10575
0.240211,0.1065
0.23542,0.10725
0.246782,0.108
0.245413,0.10875
0.238842,0.1095
0.244728,0.11025
0.275665,0.111
0.240211,0.11175
0.25212,0.1125
0.233914,0.11325
0.259512,0.114
0.242675,0.11475
0.222827,0.1155
0.270189,0.11625
0.232272,0.117
0.237884,0.11775
0.252805,0.1185
0.246097,0.11925
0.238569,0.12
0.228302,0.12075
0.276623,0.1215
0.255953,0.12225
0.249519,0.123
0.240896,0.12375
0.24993,0.1245
0.23323,0.12525
0.258965,0.126
0.239253,0.12675
0.269231,0.1275
0.242675,0.12825
0.246234,0.129
0.231177,0.12975
0.240896,0.1305
0.255406,0.13125
0.204758,0.132
0.259923,0.13275
0.229671,0.1335
0.226659,0.13425
0.249519,0.135
0.262387,0.13575
0.225017,0.1365
0.257596,0.13725
0.276349,0.138
0.26047,0.13875
0.245413,0.1395
0.273611,0.14025
0.256364,0.141
0.26444,0.14175
0.228302,0.1425
0.243633,0.14325
0.265809,0.144
0.241717,0.14475
0.229945,0.1455
0.264029,0.14625
0.246097,0.147
0.263756,0.14775
0.26444,0.1485
0.225428,0.14925
0.250067,0.15
0.242401,0.15075
0.258417,0.1515
0.257459,0.15225
0.225564,0.153
