NMR signal (mV),time (s)
0.224606,0.0
0.231908,0.00075
0.226112,0.0015
0.251299,0.00225
0.196271,0.003
0.208591,0.00375
0.205579,0.0045
0.230355,0.00525
0.207222,0.006
0.215982,0.00675
0.182719,0.0075
0.228576,0.00825
0.198735,0.009
0.210918,0.00975
0.225975,0.0105
0.234325,0.01125
0.215572,0.012
0.187373,0.01275
0.210918,0.0135
0.191206,0.01425
0.220363,0.015
0.223648,0.01575
0.241033,0.0165
0.182856,0.01725
0.237884,0.018
0.204621,0.01875
0.200377,0.0195
0.219952,0.02025
0.21475,0.021
0.237747,0.02175
0.221458,0.0225
0.203115,0.02325
0.204347,0.024
0.228576,0.02475
0.195723,0.0255
0.216941,0.02625
0.196955,0.027
0.234599,0.02775
0.227618,0.0285
0.240348,0.02925
0.213245,0.03
0.201199,0.03075
0.190795,0.0315
0.20024,0.03225
0.220637,0.033
0.211739,0.03375
0.223237,0.0345
0.197503,0.03525
0.209686,0.036
0.222827,0.03675
0.216804,0.0375
0.240074,0.03825
0.209549,0.039
0.180118,0.03975
0.220089,0.0405
0.209138,0.04125
0.179571,0.042
0.240622,0.04275
0.226386,0.0435
0.213655,0.04425
0.202157,0.045
0.229945,0.04575
0.217625,0.0465
0.207495,0.04725
0.212423,0.048
0.202704,0.04875
0.219268,0.0495
0.213245,0.05025
0.207495,0.051
0.225564,0.05175
0.219678,0.0525
0.225701,0.05325
0.232272,0.054
0.194765,0.05475
0.189016,0.0555
0.205853,0.05625
0.229123,0.057
0.195723,0.05775
0.218583,0.0585
0.236378,0.05925
0.213382,0.06
0.230629,0.06075
0.217762,0.0615
0.223648,0.06225
0.217488,0.063
0.217899,0.06375
0.213108,0.0645
0.225838,0.06525
0.207495,0.066
0.220773,0.06675
0.196545,0.0675
0.194218,0.06825
0.211465,0.069
0.182993,0.06975
0.218309,0.0705
0.224743,0.07125
0.195723,0.072
0.197913,0.07275
0.223374,0.0735
0.229671,0.07425
0.168072,0.075
0.169304,0.07575
0.239527,0.0765
0.218309,0.07725
0.199009,0.078
0.219405,0.07875
0.211191,0.0795
0.230082,0.08025
0.208454,0.081
0.206811,0.08175
0.225154,0.0825
0.193807,0.08325
0.188331,0.084
0.220226,0.08475
0.224606,0.0855
0.179023,0.08625
0.194218,0.087
0.205168,0.08775
0.217762,0.0885
0.196408,0.08925
0.216256,0.09
0.228302,0.09075
0.189974,0.0915
0.195449,0.09225
0.192849,0.093
0.204484,0.09375
0.191343,0.0945
0.205442,0.09525
0.211191,0.096
0.175601,0.09675
0.196134,0.0975
0.203526,0.09825
0.21434,0.099
0.205716,0.09975
0.212013,0.1005
0.18135,0.10125
0.188058,0.102
0.205442,0.10275
0.213655,0.1035
0.205168,0.10425
0.189974,0.105
0.211328,0.10575
0.210507,0.1065
0.213245,0.10725
0.229808,0.108
0.192438,0.10875
0.224743,0.1095
0.207495,0.11025
0.20599,0.111
0.209138,0.11175
0.21434,0.1125
0.205032,0.11325
0.210096,0.114
0.231998,0.11475
0.182993,0.1155
0.194354,0.11625
0.192575,0.117
0.219131,0.11775
0.2064,0.1185
0.181761,0.11925
0.225838,0.12
0.184636,0.12075
0.188742,0.1215
0.216256,0.12225
0.215024,0.123
0.191754,0.12375
0.184225,0.1245
0.186963,0.12525
0.210507,0.126
0.237063,0.12675
0.206127,0.1275
0.216393,0.12825
0.207495,0.129
0.220226,0.12975
0.164239,0.1305
0.225154,0.13125
0.18929,0.132
0.178065,0.13275
0.2064,0.1335
0.18929,0.13425
0.192164,0.135
0.214066,0.13575
0.219405,0.1365
0.201746,0.13725
0.185731,0.138
0.178476,0.13875
0.19805,0.1395
0.192027,0.14025
0.209549,0.141
0.188468,0.14175
0.183814,0.1425
0.183404,0.14325
0.176559,0.144
0.19586,0.14475
0.23145,0.1455
0.173411,0.14625
0.192575,0.147
0.206674,0.14775
0.218446,0.1485
0.176833,0.14925
0.197092,0.15
0.225291,0.15075
0.21215,0.1515
0.205579,0.15225
0.192575,0.153
0.215161,0.15375
0.190385,0.1545
0.167662,0.15525
0.195176,0.156
0.222005,0.15675
0.180392,0.1575
0.165608,0.15825
0.220089,0.159
0.222416,0.15975
0.21037,0.1605
0.174369,0.16125
0.203389,0.162
0.209959,0.16275
0.161639,0.1635
0.216667,0.16425
0.2064,0.165
0.209823,0.16575
0.207359,0.1665
0.218446,0.16725
0.193944,0.168
0.211876,0.16875
0.201609,0.1695
0.175464,0.17025
0.190658,0.171
0.180255,0.17175
0.210233,0.1725
0.235831,0.17325
0.206811,0.174
0.194902,0.17475
0.197503,0.1755
0.193533,0.17625
0.19983,0.177
0.178339,0.17775
0.194491,0.1785
0.181898,0.17925
0.184499,0.18
0.211191,0.18075
0.2231,0.1815
0.204484,0.18225
0.182308,0.183
0.199282,0.18375
0.201883,0.1845
0.178613,0.18525
0.199145,0.186
0.191069,0.18675
0.211054,0.1875
0.188195,0.18825
0.213518,0.189
0.212423,0.18975
0.197092,0.1905
0.189153,0.19125
0.227755,0.192
0.214614,0.19275
0.180803,0.1935
0.188879,0.19425
0.19805,0.195
0.216256,0.19575
0.19367,0.1965
0.195176,0.19725
0.175601,0.198
0.19983,0.19875
0.19983,0.1995
0.189563,0.20025
0.195997,0.201
0.194218,0.20175
0.18094,0.2025
0.211054,0.20325
0.193122,0.204
0.17478,0.20475
0.16246,0.2055
0.226523,0.20625
0.198735,0.207
0.208317,0.20775
0.172726,0.2085
0.190522,0.20925
0.178202,0.21
0.170262,0.21075
0.205168,0.2115
0.165745,0.21225
0.2064,0.213
0.213792,0.21375
0.190385,0.2145
0.233778,0.21525
0.191754,0.216
0.221184,0.21675
0.195586,0.2175
0.185183,0.21825
0.179297,0.219
0.199009,0.21975
0.194081,0.2205
0.192712,0.22125
0.184772,0.222
0.217762,0.22275
0.183404,0.2235
0.185867,0.22425
0.180118,0.225
0.211602,0.22575
0.188879,0.2265
0.18532,0.22725
0.203526,0.228
0.202978,0.22875
0.182308,0.2295
0.171084,0.23025
0.198735,0.231
0.170126,0.23175
0.19805,0.2325
0.17081,0.23325
0.210233,0.234
0.167251,0.23475
0.159038,0.2355
0.195313,0.23625
0.176559,0.237
0.181487,0.23775
0.204621,0.2385
0.189153,0.23925
0.179571,0.24
0.17081,0.24075
0.16246,0.2415
0.178886,0.24225
0.177928,0.243
0.200788,0.24375
0.203663,0.2445
0.180529,0.24525
0.17519,0.246
0.166019,0.24675
0.200651,0.2475
0.18532,0.24825
0.188468,0.249
0.2038,0.24975
0.211054,0.2505
0.19764,0.25125
0.208454,0.252
0.192986,0.25275
0.179981,0.2535
0.193807,0.25425
0.166156,0.255
0.196818,0.25575
0.183404,0.2565
0.174232,0.25725
0.1897,0.258
0.212013,0.25875
0.207769,0.2595
0.198735,0.26025
0.18751,0.261
0.178613,0.26175
0.167525,0.2625
0.187647,0.26325
0.172453,0.264
0.181213,0.26475
0.18751,0.2655
0.176149,0.26625
0.206948,0.267
0.213929,0.26775
0.183814,0.2685
0.168483,0.26925
0.176696,0.27
0.2038,0.27075
0.179571,0.2715
0.191754,0.27225
0.176696,0.273
0.171768,0.27375
0.174643,0.2745
0.182035,0.27525
0.162049,0.276
0.188331,0.27675
0.16643,0.2775
0.192164,0.27825
0.175464,0.279
0.177517,0.27975
0.148771,0.2805
0.185731,0.28125
0.169715,0.282
0.157532,0.28275
0.20599,0.2835
0.169167,0.28425
0.187373,0.285
0.179844,0.28575
0.219952,0.2865
0.199282,0.28725
0.187236,0.288
0.18354,0.28875
0.181761,0.2895
0.177107,0.29025
0.18135,0.291
0.197503,0.29175
0.221321,0.2925
0.153836,0.29325
0.178886,0.294
0.159312,0.29475
0.199967,0.2955
0.192849,0.29625
0.171494,0.297
0.205305,0.29775
0.1897,0.2985
