NMR signal (mV),time (s)
0.302905,0.0
0.232593,0.00075
0.24774,0.0015
0.255679,0.00225
0.265398,0.003
0.235694,0.00375
0.261565,0.0045
0.254995,0.00525
0.259101,0.006
0.25171,0.00675
0.260744,0.0075
0.256364,0.00825
0.245687,0.009
0.263619,0.00975
0.262113,0.0105
0.243907,0.01125
0.251846,0.012
0.267041,0.01275
0.257459,0.0135
0.245276,0.01425
0.235557,0.015
0.249383,0.01575
0.253763,0.0165
0.255132,0.01725
0.246782,0.018
0.264577,0.01875
0.240485,0.0195
0.226659,0.02025
0.263071,0.021
0.253352,0.02175
0.25828,0.0225
0.231587,0.02325
0.240485,0.024
0.237063,0.02475
0.234873,0.0255
0.258554,0.02625
0.267862,0.027
0.248561,0.02775
0.241033,0.0285
0.256911,0.02925
0.246234,0.03
0.226386,0.03075
0.231998,0.0315
0.237337,0.03225
0.254037,0.033
0.248151,0.03375
0.228987,0.0345
0.256774,0.03525
0.241033,0.036
0.230766,0.03675
0.259649,0.0375
0.265398,0.03825
0.230082,0.039
0.248151,0.03975
0.25171,0.0405
0.238158,0.04125
0.2706,0.042
0.261702,0.04275
0.257322,0.0435
0.257048,0.04425
0.229123,0.045
0.254037,0.04575
0.248835,0.0465
0.253626,0.04725
0.240622,0.048
0.246645,0.04875
0.234051,0.0495
0.244728,0.05025
0.249383,0.051
0.24336,0.05175
0.23761,0.0525
0.238979,0.05325
0.266356,0.054
0.235968,0.05475
0.229123,0.0555
0.24993,0.05625
0.26006,0.057
0.27279,0.05775
0.237884,0.0585
0.248835,0.05925
0.243907,0.06
0.227618,0.06075
0.235694,0.0615
0.26047,0.06225
0.24336,0.063
0.228987,0.06375
0.236515,0.0645
0.246371,0.06525
0.24158,0.066
0.222553,0.06675
0.251983,0.0675
0.254721,0.06825
0.248835,0.069
0.227481,0.06975
0.253352,0.0705
0.250341,0.07125
0.246234,0.072
0.229123,0.07275
0.254721,0.0735
0.256364,0.07425
0.245002,0.075
0.227618,0.07575
0.250341,0.0765
0.247877,0.07725
0.237473,0.078
0.245002,0.07875
0.244865,0.0795
0.226112,0.08025
0.223922,0.081
0.277992,0.08175
0.236515,0.0825
0.234736,0.08325
0.225701,0.084
0.256774,0.08475
0.244728,0.0855
0.251846,0.08625
0.248151,0.087
0.237473,0.08775
0.233093,0.0885
0.226386,0.08925
0.238569,0.09
0.244728,0.09075
0.231998,0.0915
0.22885,0.09225
0.238432,0.093
0.218309,0.09375
0.235831,0.0945
0.217762,0.09525
0.231587,0.096
0.258828,0.09675
0.233914,0.0975
0.234051,0.09825
0.258554,0.099
0.233641,0.09975
0.226523,0.1005
0.252531,0.10125
0.235694,0.102
0.237337,0.10275
0.235831,0.1035
0.228302,0.10425
0.222964,0.105
0.236105,0.10575
0.235831,0.1065
0.236652,0.10725
0.225838,0.108
0.212971,0.10875
0.257596,0.1095
0.238705,0.11025
0.253626,0.111
