NMR signal (mV),time (s)
0.275117,0.0
0.254584,0.00075
0.28292,0.0015
0.226796,0.00225
0.270874,0.003
0.247192,0.00375
0.244455,0.0045
0.261018,0.00525
0.235283,0.006
0.269915,0.00675
0.252531,0.0075
0.23501,0.00825
0.244728,0.009
0.252668,0.00975
0.261565,0.0105
0.263071,0.01125
0.275117,0.012
0.255406,0.01275
0.245139,0.0135
0.236515,0.01425
0.246645,0.015
0.26006,0.01575
0.256774,0.0165
0.245002,0.01725
0.255816,0.018
0.227344,0.01875
0.242812,0.0195
0.247055,0.02025
0.250888,0.021
0.244044,0.02175
0.256638,0.0225
0.252668,0.02325
0.250067,0.024
0.24555,0.02475
0.283604,0.0255
0.262797,0.02625
0.232135,0.027
0.230903,0.02775
0.248287,0.0285
0.275665,0.02925
0.247055,0.03
0.267041,0.03075
0.252942,0.0315
0.253489,0.03225
0.26622,0.033
0.267178,0.03375
0.247192,0.0345
0.253352,0.03525
0.228028,0.036
0.264851,0.03675
0.267041,0.0375
0.252805,0.03825
0.240211,0.039
0.244728,0.03975
0.238705,0.0405
0.227618,0.04125
0.248561,0.042
0.239253,0.04275
0.255953,0.0435
0.26622,0.04425
0.249109,0.045
0.24555,0.04575
0.237747,0.0465
0.23761,0.04725
0.274706,0.048
0.257185,0.04875
0.239253,0.0495
0.25609,0.05025
0.230903,0.051
0.231724,0.05175
0.23542,0.0525
0.244865,0.05325
0.25171,0.054
0.243496,0.05475
0.259512,0.0555
0.249383,0.05625
0.23761,0.057
0.227891,0.05775
0.238295,0.0585
0.250888,0.05925
0.262524,0.06
0.249793,0.06075
0.252531,0.0615
0.236789,0.06225
0.256501,0.063
0.225428,0.06375
0.269779,0.0645
0.253763,0.06525
0.225154,0.066
0.226796,0.06675
0.26663,0.0675
0.237063,0.06825
0.238842,0.069
0.252668,0.06975
0.243907,0.0705
0.249246,0.07125
0.227891,0.072
0.256501,0.07275
0.240896,0.0735
0.21653,0.07425
0.257733,0.075
0.265672,0.07575
0.242949,0.0765
0.234873,0.07725
0.252668,0.078
0.244181,0.07875
0.246645,0.0795
0.232272,0.08025
0.255953,0.081
0.232135,0.08175
0.224332,0.0825
0.238842,0.08325
0.250341,0.084
0.246371,0.08475
0.238295,0.0855
0.218446,0.08625
0.272927,0.087
0.23542,0.08775
0.23145,0.0885
0.264577,0.08925
0.243633,0.09
0.232409,0.09075
0.234462,0.0915
0.229123,0.09225
0.259923,0.093
0.238569,0.09375
0.23761,0.0945
0.269231,0.09525
0.229397,0.096
0.206811,0.09675
0.237747,0.0975
0.258554,0.09825
0.241033,0.099
0.226249,0.09975
0.241033,0.1005
0.245002,0.10125
0.232682,0.102
0.251162,0.10275
0.22707,0.1035
0.244728,0.10425
0.227207,0.105
0.239664,0.10575
0.221732,0.1065
0.236241,0.10725
0.22488,0.108
0.255132,0.10875
0.261429,0.1095
0.247055,0.11025
0.230766,0.111
0.239937,0.11175
0.236378,0.1125
0.233093,0.11325
0.250341,0.114
0.238705,0.11475
0.215572,0.1155
0.22885,0.11625
0.258828,0.117
0.251983,0.11775
0.247466,0.1185
0.230355,0.11925
0.267999,0.12
0.247466,0.12075
0.236241,0.1215
0.22885,0.12225
0.250888,0.123
0.249656,0.12375
0.220089,0.1245
0.241033,0.12525
0.241033,0.126
0.237337,0.12675
0.233504,0.1275
0.258006,0.12825
0.232272,0.129
0.249383,0.12975
0.241033,0.1305
0.255542,0.13125
0.215572,0.132
0.219952,0.13275
0.246782,0.1335
0.24774,0.13425
0.232546,0.135
0.227891,0.13575
0.241306,0.1365
0.238295,0.13725
0.254037,0.138
0.217899,0.13875
0.252668,0.1395
0.232409,0.14025
0.232682,0.141
0.241991,0.14175
0.237337,0.1425
0.245824,0.14325
0.217077,0.144
0.244728,0.14475
0.243086,0.1455
0.236378,0.14625
0.226112,0.147
0.230766,0.14775
0.242401,0.1485
0.230082,0.14925
0.222827,0.15
0.245413,0.15075
0.208727,0.1515
0.2231,0.15225
0.250341,0.153
0.236378,0.15375
0.231177,0.1545
0.21434,0.15525
0.247877,0.156
0.213518,0.15675
0.226112,0.1575
0.229945,0.15825
0.218994,0.159
0.248151,0.15975
0.208591,0.1605
0.226112,0.16125
0.237747,0.162
0.227344,0.16275
0.239664,0.1635
