NMR signal (mV),time (s)
0.273338,0.0
0.277081,0.00075
0.294829,0.0015
0.234599,0.00225
0.26006,0.003
0.272106,0.00375
0.262387,0.0045
0.26882,0.00525
0.254858,0.006
0.248014,0.00675
0.262797,0.0075
0.251573,0.00825
0.266083,0.009
0.249519,0.00975
0.276212,0.0105
0.251846,0.01125
0.239664,0.012
0.262797,0.01275
0.249383,0.0135
0.250478,0.01425
0.267999,0.015
0.281414,0.01575
0.256227,0.0165
0.267041,0.01725
0.275802,0.018
0.258554,0.01875
0.247603,0.0195
0.248014,0.02025
0.263345,0.021
0.250615,0.02175
0.261565,0.0225
0.271969,0.02325
0.260744,0.024
0.263482,0.02475
0.252531,0.0255
0.267451,0.02625
0.245824,0.027
0.26225,0.02775
0.239937,0.0285
0.273338,0.02925
0.259786,0.03
0.254037,0.03075
0.258554,0.0315
0.259101,0.03225
0.250067,0.033
0.242401,0.03375
0.276897,0.0345
0.258006,0.03525
0.258143,0.036
0.235146,0.03675
0.271421,0.0375
0.254037,0.03825
0.253078,0.039
0.253763,0.03975
0.255406,0.0405
0.259649,0.04125
0.259649,0.042
0.252394,0.04275
0.248972,0.0435
0.252394,0.04425
0.242675,0.045
0.251573,0.04575
0.263619,0.0465
0.243496,0.04725
0.244455,0.048
0.255132,0.04875
0.239801,0.0495
0.241443,0.05025
0.269505,0.051
0.246508,0.05175
0.245824,0.0525
0.238842,0.05325
0.260197,0.054
0.26444,0.05475
0.247329,0.0555
0.240759,0.05625
0.256364,0.057
0.251299,0.05775
0.242949,0.0585
0.241306,0.05925
0.26622,0.06
0.257185,0.06075
0.256501,0.0615
0.269231,0.06225
0.253489,0.063
0.249109,0.06375
0.233778,0.0645
0.261018,0.06525
0.25171,0.066
0.241717,0.06675
0.254174,0.0675
0.256364,0.06825
0.23939,0.069
0.246919,0.06975
0.251573,0.0705
0.264851,0.07125
0.247603,0.072
0.24596,0.07275
0.245276,0.0735
0.261565,0.07425
0.241306,0.075
0.24993,0.07575
0.239937,0.0765
0.251573,0.07725
0.237473,0.078
0.218309,0.07875
0.241306,0.0795
0.248972,0.08025
0.247329,0.081
0.250751,0.08175
0.245824,0.0825
0.244181,0.08325
0.245276,0.084
0.234873,0.08475
0.247055,0.0855
0.229808,0.08625
0.24596,0.087
0.24596,0.08775
0.254037,0.0885
0.244865,0.08925
0.245824,0.09
0.236652,0.09075
0.234325,0.0915
0.235694,0.09225
0.238569,0.093
0.24336,0.09375
0.249656,0.0945
0.252805,0.09525
0.267315,0.096
0.245687,0.09675
0.220773,0.0975
0.243086,0.09825
0.263619,0.099
0.249519,0.09975
0.250204,0.1005
0.229945,0.10125
0.24377,0.102
0.265809,0.10275
0.239253,0.1035
0.261155,0.10425
0.250888,0.105
0.242128,0.10575
0.239253,0.1065
0.238979,0.10725
0.244728,0.108
0.222964,0.10875
0.238569,0.1095
0.250204,0.11025
0.242264,0.111
0.239527,0.11175
0.235968,0.1125
0.242949,0.11325
0.232682,0.114
0.238705,0.11475
0.249519,0.1155
0.248972,0.11625
0.237473,0.117
0.233093,0.11775
0.254858,0.1185
0.236789,0.11925
0.233504,0.12
0.235694,0.12075
0.247603,0.1215
0.245002,0.12225
0.219678,0.123
0.248287,0.12375
0.251162,0.1245
0.22885,0.12525
0.241306,0.126
0.254447,0.12675
0.25609,0.1275
0.223922,0.12825
0.229945,0.129
0.259923,0.12975
0.2372,0.1305
0.232956,0.13125
0.232135,0.132
0.258006,0.13275
0.252531,0.1335
0.242264,0.13425
0.240759,0.135
0.255816,0.13575
0.23761,0.1365
0.229808,0.13725
0.251846,0.138
0.242128,0.13875
0.238158,0.1395
0.217762,0.14025
0.241443,0.141
0.237473,0.14175
0.226659,0.1425
0.245139,0.14325
0.247192,0.144
0.240622,0.14475
0.213655,0.1455
0.243633,0.14625
0.239664,0.147
0.233093,0.14775
0.21037,0.1485
0.238295,0.14925
0.241306,0.15
0.243086,0.15075
0.228439,0.1515
0.236378,0.15225
0.240348,0.153
0.216941,0.15375
0.223511,0.1545
0.251025,0.15525
0.222964,0.156
0.223785,0.15675
0.224332,0.1575
0.234873,0.15825
0.213382,0.159
0.230492,0.15975
0.242264,0.1605
0.233641,0.16125
0.244455,0.162
0.218036,0.16275
0.255816,0.1635
0.216804,0.16425
0.250615,0.165
0.229945,0.16575
0.231177,0.1665
0.241169,0.16725
0.221458,0.168
0.223237,0.16875
0.239527,0.1695
0.224196,0.17025
0.223648,0.171
0.248287,0.17175
0.23145,0.1725
0.244181,0.17325
0.227755,0.174
0.252531,0.17475
0.231724,0.1755
0.249246,0.17625
0.249656,0.177
0.229945,0.17775
0.238021,0.1785
0.240074,0.17925
0.245824,0.18
0.227344,0.18075
0.233778,0.1815
0.216804,0.18225
0.252531,0.183
0.243633,0.18375
0.240074,0.1845
0.221595,0.18525
0.227618,0.186
0.228439,0.18675
0.236378,0.1875
0.230903,0.18825
0.246371,0.189
0.229534,0.18975
0.241717,0.1905
0.240211,0.19125
0.224743,0.192
0.242128,0.19275
0.222553,0.1935
0.251162,0.19425
0.251436,0.195
0.214887,0.19575
0.225017,0.1965
0.230629,0.19725
0.228302,0.198
0.217214,0.19875
0.235831,0.1995
0.230903,0.20025
0.227344,0.201
0.217214,0.20175
0.236105,0.2025
0.224469,0.20325
0.244181,0.204
0.243223,0.20475
0.221868,0.2055
0.222142,0.20625
0.221732,0.207
0.230082,0.20775
0.246508,0.2085
0.230355,0.20925
0.231724,0.21
0.235146,0.21075
0.220773,0.2115
0.215982,0.21225
0.219952,0.213
0.230355,0.21375
0.221595,0.2145
0.231314,0.21525
0.22885,0.216
0.225564,0.21675
0.236241,0.2175
0.223785,0.21825
0.2231,0.219
0.230492,0.21975
0.22269,0.2205
0.214477,0.22125
0.223237,0.222
0.219405,0.22275
0.216393,0.2235
0.22269,0.22425
0.236652,0.225
0.234462,0.22575
0.212423,0.2265
0.237337,0.22725
0.243223,0.228
0.225428,0.22875
0.209823,0.2295
0.236378,0.23025
0.233778,0.231
0.22926,0.23175
0.228439,0.2325
0.22488,0.23325
0.225975,0.234
0.2205,0.23475
0.223785,0.2355
0.243907,0.23625
0.224606,0.237
0.233914,0.23775
0.222416,0.2385
0.245687,0.23925
0.217899,0.24
0.226796,0.24075
0.223374,0.2415
0.225154,0.24225
0.227755,0.243
0.23323,0.24375
0.234462,0.2445
0.232956,0.24525
0.212697,0.246
0.219405,0.24675
0.230903,0.2475
0.246371,0.24825
0.2064,0.249
0.228028,0.24975
0.21037,0.2505
0.230903,0.25125
0.209686,0.252
0.224059,0.25275
0.231314,0.2535
0.214203,0.25425
0.225975,0.255
0.219678,0.25575
0.233914,0.2565
0.211876,0.25725
0.222005,0.258
0.235146,0.25875
0.240211,0.2595
0.213929,0.26025
0.234462,0.261
0.230355,0.26175
0.230629,0.2625
0.204484,0.26325
0.208454,0.264
0.21653,0.26475
0.20599,0.2655
0.215161,0.26625
0.224743,0.267
0.227755,0.26775
0.217351,0.2685
0.218994,0.26925
0.230629,0.27
0.240759,0.27075
0.22091,0.2715
0.222142,0.27225
0.219952,0.273
0.209138,0.27375
0.209686,0.2745
0.218857,0.27525
0.224469,0.276
0.228439,0.27675
0.227891,0.2775
0.225838,0.27825
0.209823,0.279
0.21215,0.27975
0.213518,0.2805
0.225291,0.28125
0.21434,0.282
0.2231,0.28275
0.234736,0.2835
0.225428,0.28425
0.212013,0.285
0.196408,0.28575
0.233914,0.2865
0.2372,0.28725
0.228302,0.288
0.222279,0.28875
0.2231,0.2895
0.227618,0.29025
0.21256,0.291
0.2205,0.29175
0.218036,0.2925
0.228713,0.29325
0.204895,0.294
0.205716,0.29475
0.224743,0.2955
0.217214,0.29625
0.234051,0.297
0.255679,0.29775
0.231587,0.2985
0.22707,0.29925
0.235283,0.3
0.225291,0.30075
0.218309,0.3015
0.209138,0.30225
0.216804,0.303
0.231314,0.30375
0.205853,0.3045
0.214477,0.30525
0.228987,0.306
0.237337,0.30675
0.219131,0.3075
0.216667,0.30825
0.242401,0.309
0.21215,0.30975
0.215572,0.3105
0.214887,0.31125
0.222279,0.312
0.22091,0.31275
0.200925,0.3135
0.219815,0.31425
0.209138,0.315
0.206674,0.31575
0.205853,0.3165
0.235557,0.31725
0.235831,0.318
0.213792,0.31875
0.210233,0.3195
0.224332,0.32025
0.221321,0.321
0.196408,0.32175
0.216119,0.3225
0.229808,0.32325
0.190932,0.324
0.219678,0.32475
0.214066,0.3255
0.23939,0.32625
0.196545,0.327
0.213382,0.32775
0.213108,0.3285
0.211328,0.32925
0.215709,0.33
0.222553,0.33075
0.227755,0.3315
0.198735,0.33225
0.216804,0.333
0.230903,0.33375
0.228439,0.3345
0.22269,0.33525
0.197229,0.336
0.209823,0.33675
0.222827,0.3375
0.220089,0.33825
0.21434,0.339
0.211876,0.33975
0.21653,0.3405
0.226249,0.34125
0.217625,0.342
0.232135,0.34275
0.216393,0.3435
0.210918,0.34425
0.230219,0.345
0.229671,0.34575
0.211876,0.3465
0.214614,0.34725
0.207906,0.348
0.199145,0.34875
0.219405,0.3495
0.222279,0.35025
0.210781,0.351
0.232409,0.35175
0.198461,0.3525
0.214477,0.35325
0.211054,0.354
0.221868,0.35475
0.204895,0.3555
0.208043,0.35625
0.198872,0.357
0.215298,0.35775
0.197092,0.3585
0.231998,0.35925
0.217625,0.36
0.205032,0.36075
0.223511,0.3615
0.229945,0.36225
0.224196,0.363
0.208727,0.36375
0.212697,0.3645
0.200104,0.36525
0.20818,0.366
0.201062,0.36675
0.217488,0.3675
0.22269,0.36825
0.202704,0.369
0.215982,0.36975
0.231314,0.3705
0.201336,0.37125
0.187647,0.372
0.210644,0.37275
0.222416,0.3735
0.219131,0.37425
0.222827,0.375
0.2372,0.37575
0.221321,0.3765
0.197229,0.37725
0.193396,0.378
0.218994,0.37875
0.221184,0.3795
0.192849,0.38025
0.220226,0.381
0.22488,0.38175
0.197913,0.3825
0.205442,0.38325
0.235557,0.384
0.205442,0.38475
0.21434,0.3855
0.213792,0.38625
0.223237,0.387
0.207085,0.38775
0.204758,0.3885
0.223374,0.38925
0.208043,0.39
0.197913,0.39075
0.20421,0.3915
0.218857,0.39225
0.219952,0.393
0.214066,0.39375
0.195586,0.3945
0.220226,0.39525
0.204347,0.396
0.19983,0.39675
0.217351,0.3975
0.208043,0.39825
0.19805,0.399
0.208043,0.39975
0.220637,0.4005
0.205716,0.40125
0.173411,0.402
0.20818,0.40275
0.21653,0.4035
0.223648,0.40425
0.209686,0.405
0.213245,0.40575
0.205716,0.4065
0.200514,0.40725
0.206263,0.408
0.219405,0.40875
0.214887,0.4095
0.199967,0.41025
0.195313,0.411
0.22269,0.41175
0.205853,0.4125
0.200514,0.41325
0.188605,0.414
0.230219,0.41475
0.217488,0.4155
0.206674,0.41625
0.195997,0.417
0.215982,0.41775
0.203252,0.4185
0.194902,0.41925
0.202294,0.42
0.224059,0.42075
0.212834,0.4215
0.185457,0.42225
0.196545,0.423
0.202294,0.42375
0.196408,0.4245
0.209823,0.42525
0.214614,0.426
0.206537,0.42675
0.200377,0.4275
0.194491,0.42825
0.217899,0.429
0.21653,0.42975
0.19805,0.4305
0.192986,0.43125
0.203115,0.432
0.212697,0.43275
0.191069,0.4335
0.203115,0.43425
0.218173,0.435
0.195723,0.43575
0.197503,0.4365
0.218309,0.43725
0.193396,0.438
0.190932,0.43875
0.206127,0.4395
0.214614,0.44025
0.221184,0.441
0.190385,0.44175
0.208864,0.4425
0.210233,0.44325
0.200788,0.444
0.205032,0.44475
0.220226,0.4455
0.214887,0.44625
0.210507,0.447
0.196545,0.44775
0.223922,0.4485
0.204895,0.44925
0.202841,0.45
0.207085,0.45075
0.212834,0.4515
0.198735,0.45225
0.195723,0.453
0.213108,0.45375
0.217625,0.4545
0.205716,0.45525
0.184909,0.456
0.195997,0.45675
0.192712,0.4575
0.189016,0.45825
0.213929,0.459
0.213108,0.45975
0.205305,0.4605
0.202431,0.46125
0.193533,0.462
0.196134,0.46275
0.198598,0.4635
0.189974,0.46425
0.2064,0.465
0.204758,0.46575
0.191069,0.4665
0.17259,0.46725
0.200514,0.468
0.209001,0.46875
0.198324,0.4695
0.197777,0.47025
0.184225,0.471
0.213929,0.47175
0.204073,0.4725
0.202568,0.47325
0.193533,0.474
0.192986,0.47475
0.190522,0.4755
0.203663,0.47625
0.224469,0.477
0.190248,0.47775
0.199967,0.4785
0.211602,0.47925
0.189153,0.48
0.191069,0.48075
0.197366,0.4815
0.198598,0.48225
0.209275,0.483
0.198872,0.48375
0.190385,0.4845
0.215982,0.48525
0.183267,0.486
0.184362,0.48675
0.1897,0.4875
0.214887,0.48825
0.187236,0.489
0.19367,0.48975
0.214203,0.4905
0.196134,0.49125
0.193807,0.492
0.186004,0.49275
0.196818,0.4935
0.193807,0.49425
0.19189,0.495
0.198461,0.49575
0.204895,0.4965
0.189153,0.49725
0.207085,0.498
0.213108,0.49875
0.208043,0.4995
0.180529,0.50025
0.180529,0.501
0.22269,0.50175
0.199967,0.5025
0.191206,0.50325
0.185594,0.504
0.204347,0.50475
0.199967,0.5055
0.177381,0.50625
0.2205,0.507
0.198598,0.50775
0.186552,0.5085
0.199693,0.50925
0.19148,0.51
0.194354,0.51075
0.182172,0.5115
0.201883,0.51225
0.2038,0.513
0.184772,0.51375
0.177654,0.5145
0.199967,0.51525
0.205032,0.516
0.195586,0.51675
0.214614,0.5175
0.20024,0.51825
0.214066,0.519
0.208454,0.51975
0.198324,0.5205
0.200377,0.52125
0.186141,0.522
0.176149,0.52275
0.184499,0.5235
0.196271,0.52425
0.194902,0.525
0.197092,0.52575
0.197913,0.5265
0.199282,0.52725
0.202704,0.528
0.18094,0.52875
0.212697,0.5295
0.193122,0.53025
0.19805,0.531
0.194902,0.53175
0.209138,0.5325
0.184772,0.53325
0.179571,0.534
0.186963,0.53475
0.189974,0.5355
0.208727,0.53625
0.196955,0.537
0.192849,0.53775
0.176559,0.5385
0.186689,0.53925
0.185731,0.54
0.212286,0.54075
0.199145,0.5415
0.201062,0.54225
0.197092,0.543
0.206811,0.54375
0.190795,0.5445
0.213518,0.54525
0.183404,0.546
0.20421,0.54675
0.202978,0.5475
0.184636,0.54825
0.196408,0.549
0.201472,0.54975
0.195176,0.5505
0.20818,0.55125
0.182856,0.552
0.196545,0.55275
0.181076,0.5535
0.177244,0.55425
0.18532,0.555
0.194354,0.55575
0.173685,0.5565
0.180118,0.55725
0.199282,0.558
0.183267,0.55875
0.188742,0.5595
0.203936,0.56025
0.183404,0.561
0.184362,0.56175
0.185046,0.5625
0.196955,0.56325
0.194491,0.564
0.184362,0.56475
0.179297,0.5655
0.190932,0.56625
0.186689,0.567
0.19586,0.56775
0.194491,0.5685
0.191617,0.56925
0.186552,0.57
0.179571,0.57075
0.192438,0.5715
0.198735,0.57225
0.182035,0.573
0.178202,0.57375
0.18532,0.5745
0.193259,0.57525
0.179571,0.576
0.180529,0.57675
0.194902,0.5775
0.205716,0.57825
0.195176,0.579
0.188605,0.57975
0.190795,0.5805
0.194902,0.58125
0.176696,0.582
0.188879,0.58275
0.182582,0.5835
0.194218,0.58425
0.174643,0.585
0.209959,0.58575
0.18532,0.5865
0.191206,0.58725
0.182308,0.588
0.180392,0.58875
0.190658,0.5895
0.182445,0.59025
0.199967,0.591
0.181487,0.59175
0.178065,0.5925
0.181624,0.59325
0.21256,0.594
0.19367,0.59475
0.169852,0.5955
0.186415,0.59625
0.207769,0.597
0.173958,0.59775
0.175601,0.5985
0.20024,0.59925
0.197229,0.6
0.186689,0.60075
0.193533,0.6015
0.204484,0.60225
0.204621,0.603
0.169578,0.60375
0.185867,0.6045
0.203526,0.60525
0.195039,0.606
0.164787,0.60675
0.182582,0.6075
0.178476,0.60825
0.194628,0.609
0.174232,0.60975
0.203936,0.6105
0.178476,0.61125
0.185731,0.612
0.192438,0.61275
0.18751,0.6135
0.187784,0.61425
0.176012,0.615
0.167662,0.61575
0.198324,0.6165
0.199556,0.61725
0.169852,0.618
0.186278,0.61875
0.190385,0.6195
0.18354,0.62025
0.164513,0.621
0.21256,0.62175
0.18135,0.6225
0.179981,0.62325
0.182582,0.624
0.187236,0.62475
0.192438,0.6255
0.167388,0.62625
0.171221,0.627
0.194765,0.62775
0.169989,0.6285
0.169031,0.62925
0.179023,0.63
0.190111,0.63075
0.172042,0.6315
0.164376,0.63225
0.196545,0.633
0.170673,0.63375
0.161502,0.6345
0.176012,0.63525
0.196818,0.636
0.18929,0.63675
0.191754,0.6375
0.184225,0.63825
0.188331,0.639
0.183814,0.63975
0.169031,0.6405
0.187236,0.64125
0.183404,0.642
0.175053,0.64275
0.172042,0.6435
0.170126,0.64425
0.173411,0.645
0.172042,0.64575
0.160407,0.6465
0.183404,0.64725
0.188195,0.648
0.175053,0.64875
0.191206,0.6495
0.176696,0.65025
0.170947,0.651
0.178886,0.65175
