NMR signal (mV),time (s)
0.012844,0.0
0.504401,0.00075
0.501663,0.0015
0.490849,0.00225
0.495914,0.003
0.48113,0.00375
0.465662,0.0045
0.463198,0.00525
0.447593,0.006
0.438422,0.00675
0.432947,0.0075
0.428703,0.00825
0.413509,0.009
0.405022,0.00975
0.389964,0.0105
0.384626,0.01125
0.371211,0.012
0.365872,0.01275
0.357933,0.0135
0.34575,0.01425
0.339317,0.015
0.333704,0.01575
0.333704,0.0165
0.329187,0.01725
0.332472,0.018
0.333294,0.01875
0.336168,0.0195
0.336579,0.02025
0.335484,0.021
0.336579,0.02175
0.3374,0.0225
0.33699,0.02325
0.335484,0.024
0.335894,0.02475
0.334389,0.0255
0.334799,0.02625
0.334115,0.027
0.32905,0.02775
0.32686,0.0285
0.325491,0.02925
0.322753,0.03
0.321521,0.03075
0.318099,0.0315
0.316457,0.03225
0.315772,0.033
0.320974,0.03375
0.324944,0.0345
0.332199,0.03525
0.35191,0.036
0.357796,0.03675
0.371622,0.0375
0.402695,0.03825
0.415288,0.039
0.435684,0.03975
0.443897,0.0405
0.463472,0.04125
0.498378,0.042
0.500021,0.04275
0.446361,0.0435
0.47278,0.04425
0.484826,0.045
0.470864,0.04575
0.470864,0.0465
0.450057,0.04725
0.442392,0.048
0.474149,0.04875
0.474149,0.0495
0.459229,0.05025
0.484963,0.051
0.481815,0.05175
0.477161,0.0525
0.468263,0.05325
0.458681,0.054
0.449373,0.05475
0.446088,0.0555
0.425281,0.05625
0.421038,0.057
0.407623,0.05775
0.401737,0.0585
0.389964,0.05925
0.383394,0.06
0.380382,0.06075
0.375591,0.0615
0.373127,0.06225
0.368747,0.063
0.368336,0.06375
0.365599,0.0645
0.364093,0.06525
0.362313,0.066
0.360397,0.06675
0.361081,0.0675
0.363135,0.06825
0.363545,0.069
0.362177,0.06975
0.364641,0.0705
0.366283,0.07125
0.368336,0.072
0.373675,0.07275
0.375454,0.0735
0.380382,0.07425
0.381204,0.075
0.386268,0.07575
0.387774,0.0765
0.392291,0.07725
0.395166,0.078
0.398725,0.07875
0.400915,0.0795
0.403927,0.08025
0.406117,0.081
0.409265,0.08175
0.411866,0.0825
0.413098,0.08325
0.415015,0.084
0.415151,0.08475
0.41871,0.0855
0.420901,0.08625
0.424049,0.087
0.425829,0.08775
0.430072,0.0885
0.432673,0.08925
0.436232,0.09
0.438422,0.09075
0.441707,0.0915
0.445677,0.09225
0.448278,0.093
0.453069,0.09375
0.457039,0.0945
0.458544,0.09525
0.457039,0.096
0.43897,0.09675
0.425144,0.0975
0.446225,0.09825
0.467168,0.099
0.525208,0.09975
0.484689,0.1005
0.502895,0.10125
0.510013,0.102
0.51809,0.10275
0.520006,0.1035
0.507413,0.10425
0.52466,0.105
0.526029,0.10575
0.513025,0.1065
0.513709,0.10725
0.512751,0.108
0.51234,0.10875
0.494545,0.1095
0.503306,0.11025
0.515899,0.111
0.52644,0.11175
0.5352,0.1125
0.544235,0.11325
0.545741,0.114
0.548615,0.11475
0.552311,0.1155
0.552311,0.11625
0.550805,0.117
0.552996,0.11775
0.554501,0.1185
0.550395,0.11925
0.548478,0.12
0.545877,0.12075
0.541634,0.1215
0.542045,0.12225
0.540813,0.123
0.538349,0.12375
0.540676,0.1245
0.540676,0.12525
0.540813,0.126
0.538212,0.12675
0.53917,0.1275
0.537391,0.12825
0.540265,0.129
0.543277,0.12975
0.545741,0.1305
0.543277,0.13125
0.541908,0.132
0.545877,0.13275
0.545877,0.1335
0.5519,0.13425
0.552859,0.135
0.553954,0.13575
0.554501,0.1365
0.554228,0.13725
1.306553,0.138
0.106063,0.13875
0.047886,0.1395
0.043095,0.14025
0.043232,0.141
0.050214,0.14175
