NMR signal (mV),time (s)
0.238295,0.0
0.197366,0.00075
0.234599,0.0015
0.222005,0.00225
0.212423,0.003
0.230355,0.00375
0.190795,0.0045
0.222827,0.00525
0.225291,0.006
0.22926,0.00675
0.202841,0.0075
0.211739,0.00825
0.218309,0.009
0.205853,0.00975
0.201883,0.0105
0.21872,0.01125
0.209823,0.012
0.219815,0.01275
0.234188,0.0135
0.197503,0.01425
0.225564,0.015
0.22091,0.01575
0.206537,0.0165
0.221458,0.01725
0.223374,0.018
0.21872,0.01875
0.199145,0.0195
0.225017,0.02025
0.219541,0.021
0.208043,0.02175
0.222142,0.0225
0.205442,0.02325
0.217762,0.024
0.200104,0.02475
0.212013,0.0255
0.217214,0.02625
0.200651,0.027
0.220363,0.02775
0.212971,0.0285
0.225564,0.02925
0.205716,0.03
0.222279,0.03075
0.197092,0.0315
0.201472,0.03225
0.204621,0.033
0.196271,0.03375
0.226659,0.0345
0.190932,0.03525
0.210644,0.036
0.215572,0.03675
0.214203,0.0375
0.193396,0.03825
0.18094,0.039
0.228028,0.03975
0.222142,0.0405
0.217899,0.04125
0.222964,0.042
0.218446,0.04275
0.225428,0.0435
0.212286,0.04425
0.22269,0.045
0.210781,0.04575
0.194628,0.0465
0.215435,0.04725
0.224332,0.048
0.2064,0.04875
0.218036,0.0495
0.221732,0.05025
0.213108,0.051
0.187373,0.05175
0.204484,0.0525
0.223511,0.05325
0.210781,0.054
0.19805,0.05475
0.216393,0.0555
0.214203,0.05625
0.20024,0.057
0.200377,0.05775
0.22269,0.0585
0.229123,0.05925
0.21434,0.06
0.204073,0.06075
0.215161,0.0615
0.226523,0.06225
0.214887,0.063
0.189153,0.06375
0.218994,0.0645
0.195997,0.06525
0.207769,0.066
0.192164,0.06675
0.19764,0.0675
0.209686,0.06825
0.185867,0.069
0.218036,0.06975
0.208591,0.0705
0.206674,0.07125
0.189974,0.072
0.206948,0.07275
0.208454,0.0735
0.214066,0.07425
0.196271,0.075
0.22926,0.07575
0.204621,0.0765
0.186552,0.07725
0.20024,0.078
0.202157,0.07875
0.193122,0.0795
0.188468,0.08025
0.226386,0.081
0.210507,0.08175
0.184772,0.0825
0.18094,0.08325
0.232409,0.084
0.216804,0.08475
0.211465,0.0855
0.183814,0.08625
0.217077,0.087
0.193259,0.08775
0.172042,0.0885
0.210233,0.08925
0.19764,0.09
0.198461,0.09075
0.191617,0.0915
0.214477,0.09225
0.196134,0.093
0.190658,0.09375
0.195176,0.0945
0.201746,0.09525
0.209959,0.096
0.181487,0.09675
0.210644,0.0975
0.2064,0.09825
0.191617,0.099
0.201472,0.09975
0.218994,0.1005
0.215298,0.10125
0.186415,0.102
0.201472,0.10275
0.205168,0.1035
0.215298,0.10425
0.191206,0.105
0.210233,0.10575
0.196271,0.1065
0.200925,0.10725
0.18313,0.108
0.189974,0.10875
0.195039,0.1095
0.200925,0.11025
0.198598,0.111
0.207632,0.11175
0.187099,0.1125
0.189427,0.11325
0.190932,0.114
0.209549,0.11475
0.202157,0.1155
0.195997,0.11625
0.21653,0.117
0.198598,0.11775
0.211054,0.1185
0.184909,0.11925
0.191754,0.12
0.184909,0.12075
0.174369,0.1215
0.212697,0.12225
0.197366,0.123
0.202568,0.12375
0.189016,0.1245
0.186141,0.12525
0.178476,0.126
0.197913,0.12675
0.20202,0.1275
0.186689,0.12825
0.21653,0.129
0.193944,0.12975
0.209412,0.1305
0.214614,0.13125
0.198735,0.132
0.194354,0.13275
0.19367,0.1335
0.195723,0.13425
0.198187,0.135
0.19586,0.13575
0.206537,0.1365
0.185183,0.13725
0.197503,0.138
0.185457,0.13875
0.221458,0.1395
0.200514,0.14025
0.199967,0.141
0.215982,0.14175
0.194765,0.1425
0.198187,0.14325
0.188058,0.144
0.190932,0.14475
0.21215,0.1455
0.186004,0.14625
0.193396,0.147
0.196134,0.14775
0.216941,0.1485
0.189837,0.14925
0.190248,0.15
0.201883,0.15075
0.200788,0.1515
0.208591,0.15225
0.199419,0.153
