NMR signal (mV),time (s)
0.304137,0.0
0.250615,0.00075
0.248835,0.0015
0.255542,0.00225
0.271969,0.003
0.252531,0.00375
0.236241,0.0045
0.286479,0.00525
0.259649,0.006
0.264303,0.00675
0.270189,0.0075
0.261565,0.00825
0.263345,0.009
0.259375,0.00975
0.269231,0.0105
0.265672,0.01125
0.253078,0.012
0.252257,0.01275
0.272106,0.0135
0.277307,0.01425
0.255542,0.015
0.267041,0.01575
0.254721,0.0165
0.236652,0.01725
0.241443,0.018
0.272653,0.01875
0.270463,0.0195
0.253215,0.02025
0.243223,0.021
0.259786,0.02175
0.249793,0.0225
0.244181,0.02325
0.249109,0.024
0.257185,0.02475
0.253489,0.0255
0.236652,0.02625
0.251299,0.027
0.2539,0.02775
0.237473,0.0285
0.237473,0.02925
0.271421,0.03
0.243086,0.03075
0.243907,0.0315
0.265398,0.03225
0.277855,0.033
0.258828,0.03375
0.251299,0.0345
0.271969,0.03525
0.267862,0.036
0.260744,0.03675
0.255679,0.0375
0.261155,0.03825
0.257733,0.039
0.265535,0.03975
0.245276,0.0405
0.259101,0.04125
0.260607,0.042
0.252531,0.04275
0.241443,0.0435
0.263482,0.04425
0.258554,0.045
0.234188,0.04575
0.255542,0.0465
0.24158,0.04725
0.264988,0.048
0.237747,0.04875
0.263756,0.0495
0.237063,0.05025
0.225428,0.051
0.263071,0.05175
0.258965,0.0525
0.260744,0.05325
0.240074,0.054
0.24774,0.05475
0.25212,0.0555
0.255132,0.05625
0.262797,0.057
0.248014,0.05775
0.242538,0.0585
0.249109,0.05925
0.245824,0.06
0.260881,0.06075
0.250888,0.0615
0.245139,0.06225
0.261839,0.063
0.252257,0.06375
0.238842,0.0645
0.248287,0.06525
0.249109,0.066
0.241854,0.06675
0.253626,0.0675
0.248287,0.06825
0.236515,0.069
0.235968,0.06975
0.247466,0.0705
0.250615,0.07125
0.247192,0.072
0.243633,0.07275
0.237884,0.0735
0.265809,0.07425
0.246508,0.075
0.263345,0.07575
0.243086,0.0765
0.263345,0.07725
0.238432,0.078
0.255406,0.07875
0.246782,0.0795
0.255679,0.08025
0.25212,0.081
0.253078,0.08175
0.258417,0.0825
0.246097,0.08325
0.249246,0.084
0.240759,0.08475
0.260197,0.0855
0.242812,0.08625
0.223785,0.087
0.26882,0.08775
0.244455,0.0885
0.250204,0.08925
0.244318,0.09
0.249519,0.09075
0.231314,0.0915
0.238569,0.09225
0.246508,0.093
0.248287,0.09375
0.25609,0.0945
0.241717,0.09525
0.247877,0.096
0.231861,0.09675
0.242812,0.0975
0.230903,0.09825
0.233778,0.099
0.261292,0.09975
0.230355,0.1005
0.253763,0.10125
0.240074,0.102
0.240485,0.10275
0.245139,0.1035
0.262113,0.10425
0.2539,0.105
0.239527,0.10575
0.243086,0.1065
0.252531,0.10725
0.254174,0.108
0.240348,0.10875
0.231998,0.1095
0.26006,0.11025
0.230903,0.111
0.236926,0.11175
0.247466,0.1125
0.233504,0.11325
0.239116,0.114
0.24774,0.11475
0.228987,0.1155
0.247192,0.11625
0.220089,0.117
0.248424,0.11775
0.236105,0.1185
0.243496,0.11925
0.258554,0.12
0.255269,0.12075
0.245687,0.1215
0.234462,0.12225
0.252942,0.123
0.253489,0.12375
0.231587,0.1245
0.237747,0.12525
0.251162,0.126
0.246234,0.12675
0.225701,0.1275
0.227344,0.12825
0.240211,0.129
0.24993,0.12975
0.2372,0.1305
0.241854,0.13125
0.241854,0.132
0.232682,0.13275
0.218857,0.1335
0.235968,0.13425
0.255953,0.135
0.216256,0.13575
0.237337,0.1365
0.229534,0.13725
0.242128,0.138
0.258417,0.13875
0.242401,0.1395
0.232956,0.14025
0.248835,0.141
0.229397,0.14175
0.244318,0.1425
0.238569,0.14325
0.258691,0.144
0.217899,0.14475
0.2539,0.1455
0.246782,0.14625
0.226933,0.147
0.233367,0.14775
0.247192,0.1485
0.241854,0.14925
0.224606,0.15
0.258417,0.15075
0.242949,0.1515
0.231998,0.15225
0.231724,0.153
0.23542,0.15375
0.236241,0.1545
0.210918,0.15525
0.217625,0.156
0.242812,0.15675
0.246371,0.1575
0.232956,0.15825
0.254174,0.159
0.252394,0.15975
0.233367,0.1605
0.216667,0.16125
0.220637,0.162
0.24555,0.16275
0.223785,0.1635
0.227481,0.16425
0.230082,0.165
0.238158,0.16575
0.2205,0.1665
0.243907,0.16725
0.25171,0.168
0.212013,0.16875
0.235557,0.1695
0.238021,0.17025
0.235146,0.171
0.228028,0.17175
0.221595,0.1725
0.226112,0.17325
0.24158,0.174
0.225291,0.17475
0.23145,0.1755
0.252942,0.17625
0.227755,0.177
0.225017,0.17775
0.234873,0.1785
0.228576,0.17925
0.222142,0.18
0.232682,0.18075
0.251846,0.1815
0.22926,0.18225
0.218309,0.183
0.236105,0.18375
0.245276,0.1845
0.219952,0.18525
0.234462,0.186
0.242949,0.18675
0.209138,0.1875
0.222279,0.18825
0.247877,0.189
0.246782,0.18975
0.234736,0.1905
0.215572,0.19125
0.221868,0.192
0.239664,0.19275
0.220363,0.1935
0.224196,0.19425
0.232409,0.195
0.22885,0.19575
0.246919,0.1965
0.220637,0.19725
0.234325,0.198
0.239253,0.19875
0.227344,0.1995
0.232682,0.20025
0.24555,0.201
0.230766,0.20175
0.223648,0.2025
0.237884,0.20325
0.246645,0.204
0.222005,0.20475
0.230355,0.2055
0.246508,0.20625
0.234325,0.207
0.213108,0.20775
0.224332,0.2085
0.221321,0.20925
0.246234,0.21
0.237884,0.21075
0.232956,0.2115
0.238705,0.21225
0.232272,0.213
0.218994,0.21375
0.228987,0.2145
0.216393,0.21525
0.228028,0.216
0.223785,0.21675
0.241991,0.2175
0.215709,0.21825
0.214887,0.219
0.236789,0.21975
0.238569,0.2205
0.218857,0.22125
0.22091,0.222
0.239527,0.22275
0.215435,0.2235
0.219405,0.22425
0.248424,0.225
0.24555,0.22575
0.213518,0.2265
0.22488,0.22725
0.24158,0.228
0.244318,0.22875
0.231724,0.2295
0.236652,0.23025
0.199693,0.231
0.229945,0.23175
0.215298,0.2325
0.215572,0.23325
0.24158,0.234
0.225975,0.23475
0.218036,0.2355
0.247329,0.23625
0.23145,0.237
0.222005,0.23775
0.216119,0.2385
0.238021,0.23925
0.228713,0.24
0.23323,0.24075
0.220637,0.2415
0.235146,0.24225
0.209959,0.243
0.2038,0.24375
0.238295,0.2445
0.216941,0.24525
0.217899,0.246
0.229534,0.24675
0.23323,0.2475
0.225428,0.24825
0.238979,0.249
0.238158,0.24975
0.222279,0.2505
0.232135,0.25125
0.226112,0.252
0.226112,0.25275
0.228302,0.2535
0.230082,0.25425
0.206127,0.255
0.22926,0.25575
0.221868,0.2565
0.230766,0.25725
0.23501,0.258
0.226796,0.25875
0.231998,0.2595
0.218036,0.26025
0.220089,0.261
0.234462,0.26175
0.200925,0.2625
0.219405,0.26325
0.236378,0.264
0.221321,0.26475
0.207085,0.2655
0.210918,0.26625
0.221732,0.267
0.217077,0.26775
0.209959,0.2685
0.217077,0.26925
0.235968,0.27
0.22091,0.27075
0.204895,0.2715
0.228165,0.27225
0.222279,0.273
0.237337,0.27375
0.225701,0.2745
0.233504,0.27525
0.229808,0.276
0.208727,0.27675
0.226933,0.2775
0.224606,0.27825
0.216667,0.279
0.202704,0.27975
0.229808,0.2805
0.234599,0.28125
0.218857,0.282
0.235283,0.28275
0.234736,0.2835
0.231587,0.28425
0.203115,0.285
0.246508,0.28575
0.212423,0.2865
0.211602,0.28725
0.216804,0.288
0.225154,0.28875
0.218309,0.2895
0.223511,0.29025
0.217899,0.291
0.240211,0.29175
0.231724,0.2925
0.223785,0.29325
0.218309,0.294
0.214477,0.29475
0.204621,0.2955
0.220773,0.29625
0.240485,0.297
0.207359,0.29775
0.215024,0.2985
0.212286,0.29925
0.215024,0.3
0.208591,0.30075
0.192027,0.3015
0.23501,0.30225
0.224059,0.303
0.206537,0.30375
0.222005,0.3045
0.226796,0.30525
0.213245,0.306
0.232819,0.30675
0.213382,0.3075
0.232956,0.30825
0.213655,0.309
0.199282,0.30975
0.228576,0.3105
0.224606,0.31125
0.222827,0.312
0.213382,0.31275
0.23145,0.3135
0.230766,0.31425
0.22269,0.315
0.229534,0.31575
0.218173,0.3165
0.215435,0.31725
0.217762,0.318
0.216667,0.31875
0.207495,0.3195
0.196955,0.32025
0.209549,0.321
0.216393,0.32175
0.216804,0.3225
0.212423,0.32325
0.204758,0.324
0.232682,0.32475
0.217077,0.3255
0.229945,0.32625
0.207769,0.327
0.234599,0.32775
0.204073,0.3285
0.21434,0.32925
0.221321,0.33
0.220363,0.33075
0.20202,0.3315
0.223785,0.33225
0.205168,0.333
0.207906,0.33375
0.193944,0.3345
0.218173,0.33525
0.2064,0.336
0.22269,0.33675
0.212834,0.3375
0.219678,0.33825
0.216393,0.339
0.223922,0.33975
0.200788,0.3405
0.213518,0.34125
0.212971,0.342
0.22091,0.34275
0.232819,0.3435
0.204621,0.34425
0.196818,0.345
0.212971,0.34575
0.226933,0.3465
0.207495,0.34725
0.191069,0.348
0.214203,0.34875
0.227207,0.3495
0.214066,0.35025
0.190658,0.351
0.203526,0.35175
0.211191,0.3525
0.207222,0.35325
0.213518,0.354
0.199419,0.35475
0.223785,0.3555
0.214614,0.35625
0.19764,0.357
0.207906,0.35775
0.207769,0.3585
0.218994,0.35925
0.219952,0.36
0.22707,0.36075
0.197229,0.3615
0.208454,0.36225
0.195449,0.363
0.224196,0.36375
0.213518,0.3645
0.211191,0.36525
0.214203,0.366
0.194218,0.36675
0.214614,0.3675
0.221047,0.36825
0.2205,0.369
0.214066,0.36975
0.210781,0.3705
0.23104,0.37125
0.19805,0.372
0.218173,0.37275
0.218309,0.3735
0.215435,0.37425
0.222005,0.375
0.20421,0.37575
0.21215,0.3765
0.197229,0.37725
0.195313,0.378
0.194354,0.37875
0.234736,0.3795
0.200377,0.38025
0.217488,0.381
0.207632,0.38175
0.218309,0.3825
0.223922,0.38325
0.194902,0.384
0.232135,0.38475
0.209959,0.3855
0.192438,0.38625
0.208864,0.387
0.221595,0.38775
0.194491,0.3885
0.20202,0.38925
0.208454,0.39
0.225701,0.39075
0.178749,0.3915
0.195997,0.39225
0.210096,0.393
0.22269,0.39375
0.202157,0.3945
0.185731,0.39525
0.198872,0.396
0.21215,0.39675
0.200788,0.3975
0.208864,0.39825
0.21256,0.399
0.201199,0.39975
0.192712,0.4005
0.190248,0.40125
0.217077,0.402
0.194628,0.40275
0.213655,0.4035
0.222416,0.40425
0.211328,0.405
0.198461,0.40575
0.222827,0.4065
0.194218,0.40725
0.209686,0.408
0.199282,0.40875
0.197092,0.4095
0.226386,0.41025
0.211602,0.411
0.209001,0.41175
0.211602,0.4125
0.204895,0.41325
0.187647,0.414
0.207359,0.41475
0.205716,0.4155
0.205168,0.41625
0.195313,0.417
0.211191,0.41775
0.234462,0.4185
0.20202,0.41925
0.194628,0.42
0.19586,0.42075
0.210096,0.4215
0.186963,0.42225
0.194354,0.423
0.209686,0.42375
0.202568,0.4245
0.207495,0.42525
0.213108,0.426
0.19764,0.42675
0.205716,0.4275
0.214203,0.42825
0.217899,0.429
0.191617,0.42975
0.194628,0.4305
0.198461,0.43125
0.215435,0.432
0.186963,0.43275
0.209686,0.4335
0.22488,0.43425
0.194081,0.435
0.206674,0.43575
0.209001,0.4365
0.224332,0.43725
0.193807,0.438
0.195449,0.43875
0.22885,0.4395
0.216941,0.44025
0.182035,0.441
0.188331,0.44175
0.206674,0.4425
0.183267,0.44325
0.191069,0.444
0.203663,0.44475
0.21653,0.4455
0.19805,0.44625
0.187236,0.447
0.202841,0.44775
0.205305,0.4485
0.206263,0.44925
0.198735,0.45
0.203389,0.45075
0.200104,0.4515
0.190385,0.45225
0.207085,0.453
0.2038,0.45375
0.193396,0.4545
0.187921,0.45525
0.219405,0.456
0.217488,0.45675
0.192164,0.4575
0.214477,0.45825
0.220226,0.459
0.217625,0.45975
0.20818,0.4605
0.205032,0.46125
0.199419,0.462
0.194218,0.46275
0.175053,0.4635
0.208043,0.46425
0.203252,0.465
0.178065,0.46575
0.197229,0.4665
0.218583,0.46725
0.205442,0.468
0.205168,0.46875
0.189153,0.4695
0.205716,0.47025
0.16643,0.471
