NMR signal (mV),time (s)
0.247055,0.0
0.226112,0.00075
0.227755,0.0015
0.222142,0.00225
0.243907,0.003
0.217625,0.00375
0.214887,0.0045
0.235557,0.00525
0.211465,0.006
0.209138,0.00675
0.200514,0.0075
0.235283,0.00825
0.207906,0.009
0.218583,0.00975
0.212834,0.0105
0.228165,0.01125
0.226523,0.012
0.202157,0.01275
0.202978,0.0135
0.217762,0.01425
0.22091,0.015
0.221732,0.01575
0.215572,0.0165
0.251162,0.01725
0.21475,0.018
0.226112,0.01875
0.243223,0.0195
0.219678,0.02025
0.222279,0.021
0.210781,0.02175
0.207632,0.0225
0.228576,0.02325
0.227618,0.024
0.204621,0.02475
0.221868,0.0255
0.202157,0.02625
0.187784,0.027
0.213929,0.02775
0.222279,0.0285
0.228302,0.02925
0.215572,0.03
0.238569,0.03075
0.206263,0.0315
0.209959,0.03225
0.205716,0.033
0.208043,0.03375
0.211465,0.0345
0.216804,0.03525
0.208043,0.036
0.225017,0.03675
0.215435,0.0375
0.214203,0.03825
0.212697,0.039
0.218036,0.03975
0.228302,0.0405
0.192712,0.04125
0.239801,0.042
0.217762,0.04275
0.194354,0.0435
0.228028,0.04425
0.219405,0.045
0.208454,0.04575
0.210644,0.0465
0.227481,0.04725
0.209275,0.048
0.19983,0.04875
0.218446,0.0495
0.250067,0.05025
0.206537,0.051
0.215024,0.05175
0.219541,0.0525
0.229808,0.05325
0.211054,0.054
0.194354,0.05475
0.220637,0.0555
0.214614,0.05625
0.209549,0.057
0.211191,0.05775
0.238569,0.0585
0.222142,0.05925
0.188331,0.06
0.229945,0.06075
0.227891,0.0615
0.210644,0.06225
0.199145,0.063
0.221732,0.06375
0.215982,0.0645
0.194902,0.06525
0.206948,0.066
0.210233,0.06675
0.215709,0.0675
0.18751,0.06825
0.215982,0.069
0.213655,0.06975
0.206127,0.0705
0.187373,0.07125
0.228713,0.072
0.224332,0.07275
0.182172,0.0735
0.217077,0.07425
0.229671,0.075
0.215024,0.07575
0.211191,0.0765
0.214203,0.07725
0.211054,0.078
0.238569,0.07875
0.201062,0.0795
0.205853,0.08025
0.208043,0.081
0.186963,0.08175
0.200104,0.0825
0.193807,0.08325
0.226523,0.084
0.18929,0.08475
0.217899,0.0855
0.21434,0.08625
0.225838,0.087
0.212423,0.08775
0.228165,0.0885
0.210233,0.08925
