NMR signal (mV),time (s)
0.030913,0.0
0.043369,0.00075
0.047065,0.0015
0.048571,0.00225
0.028722,0.003
0.030502,0.00375
0.040905,0.0045
0.025985,0.00525
0.038578,0.006
0.083887,0.00675
0.036662,0.0075
0.058837,0.00825
0.044191,0.009
0.039263,0.00975
0.039126,0.0105
0.040495,0.01125
0.028449,0.012
0.034745,0.01275
0.042822,0.0135
0.053499,0.01425
0.036525,0.015
0.033924,0.01575
0.043369,0.0165
0.031049,0.01725
0.02749,0.018
0.039947,0.01875
0.032555,0.0195
0.044191,0.02025
0.05651,0.021
0.034609,0.02175
0.041863,0.0225
0.047202,0.02325
0.044738,0.024
0.035567,0.02475
0.023931,0.0255
0.034745,0.02625
0.038031,0.027
0.044054,0.02775
0.034198,0.0285
0.031049,0.02925
0.028996,0.03
0.045559,0.03075
0.048708,0.0315
0.032555,0.03225
0.038715,0.033
0.028312,0.03375
0.036799,0.0345
0.055689,0.03525
0.025711,0.036
0.043369,0.03675
0.03324,0.0375
0.035977,0.03825
0.030776,0.039
0.047339,0.03975
0.037757,0.0405
0.041042,0.04125
0.032418,0.042
0.026943,0.04275
0.0394,0.0435
0.042137,0.04425
0.049255,0.045
0.032145,0.04575
0.042274,0.0465
0.035977,0.04725
0.032008,0.048
0.042548,0.04875
0.03146,0.0495
0.038441,0.05025
0.051719,0.051
0.047202,0.05175
0.032692,0.0525
0.032418,0.05325
0.029681,0.054
0.02927,0.05475
0.039947,0.0555
0.037072,0.05625
0.035019,0.057
0.036662,0.05775
0.030365,0.0585
0.032418,0.05925
0.042,0.06
0.03762,0.06075
0.028038,0.0615
0.03146,0.06225
0.030639,0.063
0.033513,0.06375
0.031049,0.0645
0.028722,0.06525
0.031323,0.066
0.034609,0.06675
0.042048,0.0675
0.036936,0.06825
0.032008,0.069
0.030913,0.06975
0.032829,0.0705
0.040358,0.07125
0.02927,0.072
0.040358,0.07275
0.043643,0.0735
0.028859,0.07425
0.040358,0.075
0.043506,0.07575
0.037346,0.0765
0.035019,0.07725
0.03981,0.078
0.044191,0.07875
0.041727,0.0795
0.032281,0.08025
0.037072,0.081
0.03146,0.08175
0.048708,0.0825
0.028222,0.08325
0.036799,0.084
0.032145,0.08475
0.034882,0.0855
0.027764,0.08625
0.032281,0.087
0.049529,0.08775
0.048708,0.0885
0.045423,0.08925
0.036936,0.09
0.055141,0.09075
0.074169,0.0915
0.042959,0.09225
0.035567,0.093
0.027627,0.09375
0.053499,0.0945
0.042685,0.09525
0.041042,0.096
0.030639,0.09675
0.039673,0.0975
0.038578,0.09825
0.056921,0.099
0.035977,0.09975
0.028175,0.1005
0.029544,0.10125
0.032145,0.102
0.031597,0.10275
0.030913,0.1035
0.026532,0.10425
0.04159,0.105
0.040221,0.10575
0.034882,0.1065
0.027901,0.10725
0.045286,0.108
0.037757,0.10875
0.040495,0.1095
0.03584,0.11025
0.032008,0.111
0.039673,0.11175
0.043095,0.1125
0.035977,0.11325
0.027901,0.114
0.046791,0.11475
0.036114,0.1155
0.043095,0.11625
0.03543,0.117
0.036662,0.11775
0.039947,0.1185
0.04378,0.11925
0.028449,0.12
0.033787,0.12075
0.029681,0.1215
0.038715,0.12225
0.038578,0.123
0.02749,0.12375
0.025985,0.1245
0.031734,0.12525
0.037072,0.126
0.03146,0.12675
0.034609,0.1275
0.033513,0.12825
0.029954,0.129
0.046565,0.12975
0.029681,0.1305
0.032145,0.13125
0.028449,0.132
0.032145,0.13275
0.03365,0.1335
0.035293,0.13425
0.029681,0.135
0.035156,0.13575
0.030639,0.1365
0.071978,0.13725
0.036662,0.138
0.033924,0.13875
0.028859,0.1395
0.027354,0.14025
0.034609,0.141
0.029818,0.14175
0.029133,0.1425
0.033377,0.14325
0.035704,0.144
0.031734,0.14475
0.029954,0.1455
0.028312,0.14625
0.030639,0.147
0.029544,0.14775
0.026943,0.1485
0.057742,0.14925
0.031734,0.15
0.026258,0.15075
0.037346,0.1515
0.050077,0.15225
0.025711,0.153
0.035156,0.15375
0.025848,0.1545
0.034882,0.15525
0.03543,0.156
0.045559,0.15675
0.037483,0.1575
0.042,0.15825
0.0394,0.159
0.05829,0.15975
0.046381,0.1605
0.036936,0.16125
0.059796,0.162
0.059522,0.16275
0.058016,0.1635
0.056373,0.16425
0.034335,0.165
0.039994,0.16575
0.026943,0.1665
0.044738,0.16725
0.025163,0.168
0.041316,0.16875
0.053135,0.1695
0.038578,0.17025
0.032555,0.171
0.030776,0.17175
0.035156,0.1725
0.041179,0.17325
0.031186,0.174
0.034061,0.17475
0.043917,0.1755
0.032008,0.17625
0.034882,0.177
0.044601,0.17775
0.037209,0.1785
0.04378,0.17925
0.026669,0.18
0.03981,0.18075
0.029954,0.1815
0.051035,0.18225
0.039947,0.183
0.042548,0.18375
0.030639,0.1845
0.028175,0.18525
0.051719,0.186
0.037483,0.18675
0.051993,0.1875
0.034882,0.18825
0.038578,0.189
0.030776,0.18975
0.026532,0.1905
0.030365,0.19125
0.037757,0.192
0.034198,0.19275
0.036983,0.1935
0.028449,0.19425
0.026122,0.195
0.029681,0.19575
0.032555,0.1965
0.038989,0.19725
0.030913,0.198
0.032829,0.19875
0.040358,0.1995
0.052677,0.20025
0.027217,0.201
0.032555,0.20175
0.034335,0.2025
0.02749,0.20325
0.034061,0.204
0.040495,0.20475
0.036114,0.2055
0.052677,0.20625
0.044327,0.207
0.040905,0.20775
0.034061,0.2085
0.037757,0.20925
0.038031,0.21
0.036114,0.21075
0.031597,0.2115
0.028996,0.21225
0.024479,0.213
0.07887,0.21375
0.037209,0.2145
0.028085,0.21525
0.033377,0.216
0.030502,0.21675
0.031049,0.2175
0.049803,0.21825
0.030913,0.219
0.038168,0.21975
0.065044,0.2205
0.042959,0.22125
0.034472,0.222
