NMR signal (mV),time (s)
0.228302,0.0
0.208864,0.00075
0.241169,0.0015
0.19764,0.00225
0.219815,0.003
0.214614,0.00375
0.224196,0.0045
0.233914,0.00525
0.196408,0.006
0.207222,0.00675
0.207222,0.0075
0.21475,0.00825
0.216119,0.009
0.193944,0.00975
0.208727,0.0105
0.206674,0.01125
0.216119,0.012
0.197366,0.01275
0.203663,0.0135
0.215572,0.01425
0.208043,0.015
0.22091,0.01575
0.225017,0.0165
0.209138,0.01725
0.209138,0.018
0.204073,0.01875
0.213929,0.0195
0.199556,0.02025
0.21475,0.021
0.213518,0.02175
0.197777,0.0225
0.19367,0.02325
0.222964,0.024
0.218446,0.02475
0.209275,0.0255
0.194765,0.02625
0.212971,0.027
0.218446,0.02775
0.196681,0.0285
0.201609,0.02925
0.201199,0.03
0.224196,0.03075
0.194218,0.0315
0.224332,0.03225
0.224469,0.033
0.213108,0.03375
0.196408,0.0345
0.210507,0.03525
0.213245,0.036
0.213518,0.03675
0.214203,0.0375
0.215572,0.03825
0.212286,0.039
0.207359,0.03975
0.228028,0.0405
0.19983,0.04125
0.21037,0.042
0.189563,0.04275
0.209686,0.0435
0.204073,0.04425
0.20818,0.045
0.213929,0.04575
0.207769,0.0465
0.19764,0.04725
0.190932,0.048
0.207085,0.04875
0.232135,0.0495
0.211876,0.05025
0.202978,0.051
0.209823,0.05175
0.192164,0.0525
0.205579,0.05325
0.218446,0.054
0.220089,0.05475
0.208864,0.0555
0.194491,0.05625
0.217762,0.057
0.206948,0.05775
0.220226,0.0585
0.193396,0.05925
0.203115,0.06
0.217899,0.06075
0.201336,0.0615
0.185183,0.06225
0.203389,0.063
0.202157,0.06375
0.206263,0.0645
0.195997,0.06525
0.212697,0.066
0.191343,0.06675
0.195997,0.0675
0.220773,0.06825
0.209412,0.069
0.191206,0.06975
0.192027,0.0705
0.22488,0.07125
0.189427,0.072
0.192986,0.07275
0.207906,0.0735
0.201883,0.07425
0.19764,0.075
0.207359,0.07575
0.212286,0.0765
0.186963,0.07725
0.192849,0.078
0.206674,0.07875
0.217351,0.0795
0.206674,0.08025
0.208864,0.081
0.201062,0.08175
0.202294,0.0825
0.20421,0.08325
0.205305,0.084
0.216667,0.08475
0.196955,0.0855
0.194354,0.08625
0.199282,0.087
0.226386,0.08775
0.194218,0.0885
0.191754,0.08925
0.199556,0.09
0.203526,0.09075
0.19367,0.0915
0.19367,0.09225
0.209549,0.093
0.195449,0.09375
0.205168,0.0945
0.186552,0.09525
0.188195,0.096
0.202294,0.09675
0.19367,0.0975
0.182993,0.09825
0.195039,0.099
0.201609,0.09975
0.202568,0.1005
0.213245,0.10125
0.199145,0.102
0.209686,0.10275
0.177791,0.1035
0.193122,0.10425
0.21037,0.105
0.186552,0.10575
0.193259,0.1065
0.212834,0.10725
0.19367,0.108
0.19367,0.10875
0.198598,0.1095
0.19367,0.11025
0.187647,0.111
0.191069,0.11175
0.203115,0.1125
0.190795,0.11325
0.186278,0.114
0.196955,0.11475
0.203526,0.1155
0.199419,0.11625
0.182993,0.117
0.198735,0.11775
0.210507,0.1185
0.185457,0.11925
0.199282,0.12
0.203526,0.12075
0.193122,0.1215
0.183814,0.12225
0.181076,0.123
0.204895,0.12375
0.196818,0.1245
0.197092,0.12525
0.193396,0.126
0.198598,0.12675
0.205442,0.1275
0.202294,0.12825
0.188742,0.129
0.215572,0.12975
0.204347,0.1305
0.186689,0.13125
0.187921,0.132
0.186689,0.13275
0.189016,0.1335
0.166019,0.13425
0.187921,0.135
0.217488,0.13575
0.182308,0.1365
0.209275,0.13725
0.206537,0.138
0.186141,0.13875
0.184636,0.1395
0.204073,0.14025
0.212013,0.141
0.171084,0.14175
0.187236,0.1425
0.215572,0.14325
0.182993,0.144
0.19367,0.14475
0.193807,0.1455
0.195586,0.14625
0.193259,0.147
0.202431,0.14775
0.190111,0.1485
0.206537,0.14925
0.192164,0.15
0.188331,0.15075
0.194902,0.1515
0.201062,0.15225
0.193807,0.153
0.194354,0.15375
0.201472,0.1545
0.203526,0.15525
0.193944,0.156
0.179571,0.15675
0.181761,0.1575
0.179297,0.15825
0.181076,0.159
0.206811,0.15975
0.202704,0.1605
0.196955,0.16125
0.180666,0.162
0.199009,0.16275
0.2231,0.1635
0.180118,0.16425
0.208043,0.165
0.190932,0.16575
0.199282,0.1665
0.199556,0.16725
0.188605,0.168
0.205853,0.16875
0.202431,0.1695
0.186141,0.17025
0.195449,0.171
0.193396,0.17175
0.204484,0.1725
0.188331,0.17325
0.215161,0.174
0.193533,0.17475
0.180392,0.1755
0.194354,0.17625
0.187647,0.177
0.200514,0.17775
0.194765,0.1785
0.210507,0.17925
0.176696,0.18
0.19367,0.18075
0.186552,0.1815
0.199009,0.18225
0.181761,0.183
0.198872,0.18375
0.189427,0.1845
0.192712,0.18525
0.208317,0.186
0.192438,0.18675
0.218446,0.1875
0.180666,0.18825
0.193122,0.189
0.182172,0.18975
0.196818,0.1905
0.196545,0.19125
0.182993,0.192
0.177654,0.19275
0.204347,0.1935
0.186004,0.19425
0.187373,0.195
0.169031,0.19575
0.196818,0.1965
0.186004,0.19725
0.186141,0.198
0.199693,0.19875
0.194354,0.1995
0.182308,0.20025
0.178339,0.201
0.192164,0.20175
0.186278,0.2025
0.195586,0.20325
0.184909,0.204
0.192027,0.20475
0.182172,0.2055
0.171358,0.20625
0.187099,0.207
0.206127,0.20775
0.167935,0.2085
0.169715,0.20925
0.201472,0.21
0.181624,0.21075
0.186826,0.2115
0.196818,0.21225
0.210096,0.213
0.185867,0.21375
0.186004,0.2145
0.193122,0.21525
0.206537,0.216
0.19983,0.21675
0.172453,0.2175
0.191069,0.21825
0.199693,0.219
0.191069,0.21975
0.176285,0.2205
0.19367,0.22125
0.195723,0.222
0.176012,0.22275
0.19148,0.2235
0.176285,0.22425
0.202294,0.225
0.189974,0.22575
0.192849,0.2265
0.19148,0.22725
0.188468,0.228
0.171221,0.22875
0.181487,0.2295
0.20202,0.23025
0.181213,0.231
0.184362,0.23175
0.199967,0.2325
0.194354,0.23325
0.187921,0.234
0.178065,0.23475
0.187784,0.2355
0.194628,0.23625
0.169031,0.237
0.169578,0.23775
0.192438,0.2385
0.19367,0.23925
0.182172,0.24
0.183267,0.24075
0.204621,0.2415
0.188058,0.24225
0.185046,0.243
0.208043,0.24375
0.180803,0.2445
0.184499,0.24525
0.196818,0.246
0.173411,0.24675
0.183814,0.2475
0.179571,0.24825
0.195586,0.249
0.176559,0.24975
0.201746,0.2505
0.188468,0.25125
0.207632,0.252
0.194491,0.25275
0.175053,0.2535
0.179023,0.25425
0.180255,0.255
0.182993,0.25575
0.179297,0.2565
0.178749,0.25725
0.176149,0.258
0.186004,0.25875
0.197503,0.2595
0.186004,0.26025
0.189974,0.261
0.179023,0.26175
0.197366,0.2625
0.201199,0.26325
0.184225,0.264
0.181213,0.26475
0.197366,0.2655
0.175875,0.26625
0.155753,0.267
0.171084,0.26775
0.167662,0.2685
0.176833,0.26925
0.182308,0.27
0.183404,0.27075
0.181213,0.2715
0.177244,0.27225
0.1897,0.273
