NMR signal (mV),time (s)
0.306738,0.0
0.23939,0.00075
0.262113,0.0015
0.263071,0.00225
0.267588,0.003
0.232272,0.00375
0.259512,0.0045
0.259512,0.00525
0.263482,0.006
0.268136,0.00675
0.268547,0.0075
0.269094,0.00825
0.246234,0.009
0.272243,0.00975
0.276212,0.0105
0.260197,0.01125
0.269368,0.012
0.286479,0.01275
0.259238,0.0135
0.236652,0.01425
0.271147,0.015
0.241854,0.01575
0.249656,0.0165
0.227344,0.01725
0.266767,0.018
0.252257,0.01875
0.234873,0.0195
0.263208,0.02025
0.265809,0.021
0.254584,0.02175
0.25171,0.0225
0.266356,0.02325
0.246782,0.024
0.256638,0.02475
0.256227,0.0255
0.262113,0.02625
0.230492,0.027
0.265946,0.02775
0.249383,0.0285
0.259923,0.02925
0.224332,0.03
0.255542,0.03075
0.281003,0.0315
0.258006,0.03225
0.232135,0.033
0.249656,0.03375
0.254858,0.0345
0.263756,0.03525
0.248835,0.036
0.266767,0.03675
0.242128,0.0375
0.255953,0.03825
0.253626,0.039
0.254995,0.03975
0.217077,0.0405
0.229808,0.04125
0.266083,0.042
0.241717,0.04275
0.246234,0.0435
0.25431,0.04425
0.261976,0.045
0.232546,0.04575
0.247055,0.0465
0.275938,0.04725
0.248424,0.048
0.210507,0.04875
0.242812,0.0495
0.271832,0.05025
0.270874,0.051
0.248424,0.05175
0.248972,0.0525
0.254447,0.05325
0.230903,0.054
0.233914,0.05475
0.271011,0.0555
0.248972,0.05625
0.241854,0.057
0.270463,0.05775
0.219541,0.0585
0.248972,0.05925
0.238021,0.06
0.233504,0.06075
0.243633,0.0615
0.238705,0.06225
0.277581,0.063
0.244865,0.06375
0.25212,0.0645
0.229123,0.06525
0.254721,0.066
0.255132,0.06675
0.215435,0.0675
0.251983,0.06825
0.26225,0.069
0.250204,0.06975
0.217899,0.0705
0.257322,0.07125
0.249246,0.072
0.257185,0.07275
0.240759,0.0735
0.245276,0.07425
0.244455,0.075
0.261429,0.07575
0.258965,0.0765
0.257459,0.07725
0.250888,0.078
0.222279,0.07875
0.263482,0.0795
0.237063,0.08025
0.253352,0.081
0.267315,0.08175
0.225701,0.0825
0.262934,0.08325
0.237884,0.084
0.247192,0.08475
0.247603,0.0855
0.23323,0.08625
0.244592,0.087
0.225564,0.08775
0.238705,0.0885
0.248424,0.08925
0.282098,0.09
0.228028,0.09075
0.251573,0.0915
0.24555,0.09225
0.251299,0.093
0.24596,0.09375
0.246645,0.0945
0.239116,0.09525
0.212286,0.096
0.237473,0.09675
0.258691,0.0975
0.241033,0.09825
0.217899,0.099
0.239664,0.09975
0.257322,0.1005
0.240348,0.10125
0.249246,0.102
0.233641,0.10275
0.237884,0.1035
0.227891,0.10425
0.23104,0.105
0.232409,0.10575
0.241169,0.1065
0.228576,0.10725
0.220773,0.108
0.259786,0.10875
0.254995,0.1095
0.240348,0.11025
0.248835,0.111
0.26225,0.11175
0.212697,0.1125
0.233367,0.11325
0.252942,0.114
0.235694,0.11475
0.238705,0.1155
0.241854,0.11625
0.233778,0.117
0.219541,0.11775
