NMR signal (mV),time (s)
0.054046,0.0
0.055826,0.00075
0.055005,0.0015
0.055415,0.00225
0.055415,0.003
0.056373,0.00375
0.053636,0.0045
0.054594,0.00525
0.051856,0.006
0.054457,0.00675
0.060206,0.0075
0.056373,0.00825
0.054868,0.009
0.057468,0.00975
0.055963,0.0105
0.056784,0.01125
0.050487,0.012
0.057742,0.01275
0.057332,0.0135
0.052951,0.01425
0.054594,0.015
0.056647,0.01575
0.052951,0.0165
0.054868,0.01725
0.058427,0.018
0.055826,0.01875
0.054183,0.0195
0.053225,0.02025
0.053636,0.021
0.050214,0.02175
0.054457,0.0225
0.057879,0.02325
0.058974,0.024
0.054594,0.02475
0.060069,0.0255
0.057058,0.02625
0.055689,0.027
0.05432,0.02775
0.058974,0.0285
0.056784,0.02925
0.055005,0.03
0.058974,0.03075
0.057605,0.0315
0.058153,0.03225
0.053499,0.033
0.057468,0.03375
0.061849,0.0345
0.053088,0.03525
0.053225,0.036
0.057332,0.03675
0.053499,0.0375
0.058016,0.03825
0.055278,0.039
0.053088,0.03975
0.058974,0.0405
0.054731,0.04125
0.055826,0.042
0.056921,0.04275
0.051309,0.0435
0.056647,0.04425
0.057332,0.045
0.055141,0.04575
0.054457,0.0465
0.05651,0.04725
0.055005,0.048
0.05432,0.04875
0.055005,0.0495
0.053499,0.05025
0.055141,0.051
0.056647,0.05175
0.059932,0.0525
0.055826,0.05325
0.053225,0.054
0.055278,0.05475
0.059248,0.0555
0.054183,0.05625
0.055415,0.057
0.056236,0.05775
0.055552,0.0585
0.054868,0.05925
0.05432,0.06
0.055141,0.06075
0.053362,0.0615
0.05432,0.06225
0.055963,0.063
0.053088,0.06375
0.060617,0.0645
0.054183,0.06525
0.055689,0.066
0.054183,0.06675
0.055278,0.0675
0.054731,0.06825
0.054868,0.069
0.053499,0.06975
0.054183,0.0705
0.055278,0.07125
0.054731,0.072
0.054183,0.07275
0.057058,0.0735
0.057742,0.07425
0.056921,0.075
0.055689,0.07575
0.05829,0.0765
0.0561,0.07725
0.056921,0.078
0.055963,0.07875
0.056236,0.0795
0.059932,0.08025
0.054731,0.081
0.053225,0.08175
0.058153,0.0825
0.056647,0.08325
0.055415,0.084
0.052677,0.08475
0.055415,0.0855
0.057742,0.08625
0.057468,0.087
0.057468,0.08775
0.059111,0.0885
0.055963,0.08925
0.055552,0.09
0.060891,0.09075
0.054731,0.0915
0.053362,0.09225
0.057879,0.093
0.055141,0.09375
0.054183,0.0945
0.059248,0.09525
0.059522,0.096
0.05651,0.09675
0.055278,0.0975
0.055005,0.09825
0.057879,0.099
0.057195,0.09975
0.054046,0.1005
0.053362,0.10125
0.053499,0.102
0.05432,0.10275
0.054183,0.1035
0.056236,0.10425
0.054731,0.105
0.055826,0.10575
0.057195,0.1065
0.056236,0.10725
0.056373,0.108
0.054731,0.10875
0.057058,0.1095
0.052677,0.11025
0.05829,0.111
0.051719,0.11175
0.057605,0.1125
0.053362,0.11325
0.060206,0.114
0.059111,0.11475
0.055689,0.1155
0.054868,0.11625
0.055826,0.117
0.055278,0.11775
0.052267,0.1185
0.054046,0.11925
0.054183,0.12
0.05651,0.12075
0.0561,0.1215
0.054183,0.12225
0.057468,0.123
0.0561,0.12375
0.052404,0.1245
0.054183,0.12525
0.05432,0.126
0.056784,0.12675
0.057332,0.1275
0.056647,0.12825
0.054183,0.129
0.054594,0.12975
0.057879,0.1305
0.055278,0.13125
0.055278,0.132
0.055552,0.13275
0.05432,0.1335
0.055689,0.13425
0.054457,0.135
0.059248,0.13575
0.057468,0.1365
0.055415,0.13725
0.055689,0.138
0.057195,0.13875
0.056236,0.1395
0.055826,0.14025
0.05432,0.141
0.059659,0.14175
0.056373,0.1425
0.055278,0.14325
0.059659,0.144
0.05651,0.14475
0.056784,0.1455
0.055005,0.14625
0.057468,0.147
0.056236,0.14775
0.053362,0.1485
0.060069,0.14925
0.055963,0.15
0.055278,0.15075
