NMR signal (mV),time (s)
0.248424,0.0
0.24108,0.00075
0.248014,0.0015
0.237063,0.00225
0.260607,0.003
0.247192,0.00375
0.252257,0.0045
0.272379,0.00525
0.232272,0.006
0.282098,0.00675
0.204484,0.0075
0.208727,0.00825
0.20421,0.009
0.208043,0.00975
0.209823,0.0105
0.217351,0.01125
0.177654,0.012
0.206948,0.01275
0.158264,0.0135
0.184772,0.01425
0.146307,0.015
0.15977,0.01575
0.134719,0.0165
0.140558,0.01725
0.091874,0.018
0.094154,0.01875
0.149319,0.0195
0.073484,0.02025
0.080649,0.021
0.095386,0.02175
0.067098,0.0225
0.050487,0.02325
0.056784,0.024
0.059385,0.02475
0.107342,0.0255
0.049803,0.02625
0.055689,0.027
0.048708,0.02775
0.058153,0.0285
0.144939,0.02925
0.043506,0.03
0.037393,0.03075
0.038578,0.0315
0.048571,0.03225
0.056921,0.033
0.085304,0.03375
0.046154,0.0345
0.044054,0.03525
0.050761,0.036
0.064997,0.03675
0.058837,0.0375
0.073073,0.03825
0.044601,0.039
0.042,0.03975
0.05651,0.0405
0.046107,0.04125
0.039447,0.042
0.115371,0.04275
0.067187,0.0435
0.047065,0.04425
0.044601,0.045
0.040221,0.04575
0.043917,0.0465
0.050487,0.04725
0.048434,0.048
0.074169,0.04875
0.033103,0.0495
0.038168,0.05025
0.124453,0.051
0.046107,0.05175
0.043643,0.0525
0.039584,0.05325
0.048071,0.054
0.085256,0.05475
0.044738,0.0555
0.056647,0.05625
0.0415,0.057
0.034335,0.05775
0.077912,0.0585
0.053499,0.05925
0.058837,0.06
0.039584,0.06075
0.039947,0.0615
0.137547,0.06225
0.056236,0.063
0.040221,0.06375
0.050487,0.0645
0.046381,0.06525
0.066687,0.066
0.038715,0.06675
0.043369,0.0675
0.044191,0.06825
0.042959,0.069
0.052951,0.06975
0.045833,0.0705
0.048571,0.07125
0.043369,0.072
0.04816,0.07275
0.038441,0.0735
0.039126,0.07425
0.053499,0.075
0.047886,0.07575
0.049255,0.0765
0.047249,0.07725
0.035704,0.078
0.045423,0.07875
0.0394,0.0795
0.053773,0.08025
0.036435,0.081
0.041453,0.08175
0.041316,0.0825
0.05651,0.08325
0.044191,0.084
0.046518,0.08475
0.044738,0.0855
0.043232,0.08625
0.091964,0.087
0.04775,0.08775
0.055278,0.0885
0.058016,0.08925
0.062307,0.09
0.102778,0.09075
0.036936,0.0915
0.049439,0.09225
0.12728,0.093
1.210048,0.09375
1.306553,0.0945
0.93605,0.09525
0.046107,0.096
0.05829,0.09675
0.05213,0.0975
0.097576,0.09825
0.334389,0.099
0.051856,0.09975
0.044464,0.1005
0.048434,0.10125
0.044191,0.102
0.063491,0.10275
0.062123,0.1035
0.03981,0.10425
0.041863,0.105
0.040084,0.10575
0.043643,0.1065
