NMR signal (mV),time (s)
0.315772,0.0
0.263392,0.00075
0.283193,0.0015
0.264988,0.00225
0.280866,0.003
0.275528,0.00375
0.248972,0.0045
0.274433,0.00525
0.261839,0.006
0.257869,0.00675
0.257185,0.0075
0.26006,0.00825
0.269779,0.009
0.244455,0.00975
0.253215,0.0105
0.274706,0.01125
0.274433,0.012
0.274159,0.01275
0.251983,0.0135
0.27279,0.01425
0.271011,0.015
0.246371,0.01575
0.265261,0.0165
0.284288,0.01725
0.243496,0.018
0.255679,0.01875
0.259375,0.0195
0.2706,0.02025
0.248835,0.021
0.246782,0.02175
0.260333,0.0225
0.274843,0.02325
0.251573,0.024
0.247603,0.02475
0.262387,0.0255
0.265398,0.02625
0.257596,0.027
0.264988,0.02775
0.258965,0.0285
0.259786,0.02925
0.243086,0.03
0.254037,0.03075
0.258691,0.0315
0.261018,0.03225
0.251846,0.033
0.268683,0.03375
0.278402,0.0345
0.245276,0.03525
0.262524,0.036
0.269231,0.03675
0.271832,0.0375
0.257869,0.03825
0.267451,0.039
0.27498,0.03975
0.257185,0.0405
0.254721,0.04125
0.242949,0.042
0.256638,0.04275
0.260333,0.0435
0.254584,0.04425
0.255953,0.045
0.242949,0.04575
0.239253,0.0465
0.264577,0.04725
0.246645,0.048
0.262113,0.04875
0.245824,0.0495
0.26047,0.05025
0.259649,0.051
0.251162,0.05175
0.263071,0.0525
0.26225,0.05325
0.261155,0.054
0.2539,0.05475
0.247192,0.0555
0.273474,0.05625
0.251025,0.057
0.241443,0.05775
0.267315,0.0585
0.27498,0.05925
0.26266,0.06
0.252394,0.06075
0.265535,0.0615
0.263892,0.06225
0.241443,0.063
0.246097,0.06375
0.277034,0.0645
0.280866,0.06525
0.246508,0.066
0.245824,0.06675
0.275391,0.0675
0.253489,0.06825
0.247055,0.069
0.255542,0.06975
0.274706,0.0705
0.248835,0.07125
0.261565,0.072
0.258828,0.07275
0.256364,0.0735
0.254037,0.07425
0.252668,0.075
0.273611,0.07575
0.260197,0.0765
0.272379,0.07725
0.263345,0.078
0.256638,0.07875
0.255132,0.0795
0.265261,0.08025
0.257733,0.081
0.258143,0.08175
0.261565,0.0825
0.246234,0.08325
0.273885,0.084
0.255816,0.08475
0.236378,0.0855
0.24993,0.08625
0.269094,0.087
0.258691,0.08775
0.247603,0.0885
0.268273,0.08925
0.239664,0.09
0.247877,0.09075
0.254584,0.0915
0.272516,0.09225
0.250204,0.093
0.243086,0.09375
0.251299,0.0945
0.254995,0.09525
0.252942,0.096
0.251846,0.09675
0.248151,0.0975
0.238432,0.09825
0.257733,0.099
0.251436,0.09975
0.269094,0.1005
0.252942,0.10125
0.251573,0.102
0.230082,0.10275
0.246234,0.1035
0.259238,0.10425
0.245413,0.105
0.254995,0.10575
0.263208,0.1065
0.268547,0.10725
0.246645,0.108
0.267041,0.10875
0.247466,0.1095
0.252257,0.11025
0.238432,0.111
0.264577,0.11175
0.254447,0.1125
0.242401,0.11325
0.258417,0.114
0.264988,0.11475
0.244592,0.1155
0.248561,0.11625
0.25212,0.117
0.240348,0.11775
0.249109,0.1185
0.232682,0.11925
0.264714,0.12
0.248151,0.12075
0.23542,0.1215
0.25609,0.12225
0.256774,0.123
0.249793,0.12375
0.255406,0.1245
0.235557,0.12525
0.257459,0.126
0.244455,0.12675
0.24555,0.1275
0.244592,0.12825
0.254447,0.129
0.247055,0.12975
0.241169,0.1305
0.248151,0.13125
0.232956,0.132
0.233914,0.13275
0.228576,0.1335
0.247055,0.13425
0.236789,0.135
0.22885,0.13575
0.251162,0.1365
0.236378,0.13725
0.250478,0.138
0.236652,0.13875
0.271695,0.1395
0.243086,0.14025
0.255269,0.141
0.239937,0.14175
0.260744,0.1425
0.246234,0.14325
0.235146,0.144
0.231724,0.14475
0.246371,0.1455
0.231998,0.14625
0.248151,0.147
0.242812,0.14775
0.230082,0.1485
0.240896,0.14925
0.235557,0.15
0.232135,0.15075
0.258965,0.1515
0.232819,0.15225
0.234325,0.153
0.253626,0.15375
0.234051,0.1545
0.226386,0.15525
0.248424,0.156
0.250615,0.15675
0.24158,0.1575
0.238432,0.15825
0.23145,0.159
0.240211,0.15975
0.238021,0.1605
0.250751,0.16125
0.226796,0.162
0.223374,0.16275
0.235968,0.1635
0.240211,0.16425
0.242264,0.165
0.258965,0.16575
0.239664,0.1665
0.255406,0.16725
0.251162,0.168
0.238979,0.16875
0.228713,0.1695
0.254174,0.17025
0.242949,0.171
0.242264,0.17175
0.246782,0.1725
0.242675,0.17325
0.250204,0.174
0.238979,0.17475
0.25212,0.1755
0.250341,0.17625
0.231724,0.177
0.238432,0.17775
0.247055,0.1785
0.242401,0.17925
0.228302,0.18
0.245824,0.18075
0.2372,0.1815
0.228028,0.18225
0.232409,0.183
0.252531,0.18375
0.255132,0.1845
0.226523,0.18525
0.223374,0.186
0.254174,0.18675
0.26006,0.1875
0.24596,0.18825
0.250341,0.189
0.246371,0.18975
0.237337,0.1905
0.214066,0.19125
0.25609,0.192
0.24336,0.19275
0.2372,0.1935
0.218446,0.19425
0.240211,0.195
0.236789,0.19575
0.240211,0.1965
0.230219,0.19725
0.239801,0.198
0.24336,0.19875
0.229808,0.1995
0.235694,0.20025
0.236241,0.201
0.241033,0.20175
0.237473,0.2025
0.241306,0.20325
0.235283,0.204
0.24774,0.20475
0.229123,0.2055
0.248014,0.20625
0.245002,0.207
0.222142,0.20775
0.231314,0.2085
0.235968,0.20925
0.23761,0.21
0.22707,0.21075
0.240348,0.2115
0.225838,0.21225
0.242675,0.213
0.237337,0.21375
0.255542,0.2145
0.244728,0.21525
0.210233,0.216
0.231587,0.21675
0.2372,0.2175
0.240211,0.21825
0.229534,0.219
0.246371,0.21975
0.241991,0.2205
0.227755,0.22125
0.246234,0.222
0.252394,0.22275
0.234325,0.2235
0.224059,0.22425
0.241033,0.225
0.250615,0.22575
0.23145,0.2265
0.241306,0.22725
0.24336,0.228
0.235694,0.22875
0.255542,0.2295
0.231177,0.23025
0.252531,0.231
0.234462,0.23175
0.209138,0.2325
0.231861,0.23325
0.238295,0.234
0.226112,0.23475
0.225564,0.2355
0.238158,0.23625
0.226933,0.237
0.236652,0.23775
0.234873,0.2385
0.229945,0.23925
0.249656,0.24
0.211739,0.24075
0.22926,0.2415
0.235146,0.24225
0.223374,0.243
0.223922,0.24375
0.229123,0.2445
0.24336,0.24525
0.230766,0.246
0.223648,0.24675
0.235283,0.2475
0.229808,0.24825
0.228302,0.249
0.221184,0.24975
0.226523,0.2505
0.22488,0.25125
0.216667,0.252
0.22926,0.25275
0.250751,0.2535
0.207906,0.25425
0.228576,0.255
0.222553,0.25575
0.235146,0.2565
0.213655,0.25725
0.229123,0.258
0.238295,0.25875
0.224469,0.2595
0.225975,0.26025
0.228987,0.261
0.232819,0.26175
0.230629,0.2625
0.217762,0.26325
0.236652,0.264
0.235283,0.26475
0.220363,0.2655
0.227207,0.26625
0.245413,0.267
0.223785,0.26775
0.236652,0.2685
0.227618,0.26925
0.234462,0.27
0.227618,0.27075
0.235968,0.2715
0.228987,0.27225
0.216119,0.273
0.235831,0.27375
0.210918,0.2745
0.235694,0.27525
0.243633,0.276
0.227891,0.27675
0.221047,0.2775
0.222142,0.27825
0.218583,0.279
0.217762,0.27975
0.227618,0.2805
0.244592,0.28125
0.230082,0.282
0.22488,0.28275
0.208727,0.2835
0.236105,0.28425
0.220773,0.285
0.225428,0.28575
0.217899,0.2865
0.219405,0.28725
0.225154,0.288
0.210096,0.28875
0.238705,0.2895
0.22707,0.29025
0.209823,0.291
0.227618,0.29175
0.228028,0.2925
0.234188,0.29325
0.201746,0.294
0.214203,0.29475
0.243496,0.2955
0.220773,0.29625
0.215161,0.297
0.2205,0.29775
0.21256,0.2985
0.219405,0.29925
0.212286,0.3
0.238979,0.30075
0.229808,0.3015
0.219952,0.30225
0.225017,0.303
0.247466,0.30375
0.21872,0.3045
0.211876,0.30525
0.219268,0.306
0.220226,0.30675
0.218036,0.3075
0.200514,0.30825
0.219678,0.309
0.230219,0.30975
0.202157,0.3105
0.210233,0.31125
0.238021,0.312
0.211465,0.31275
0.215709,0.3135
0.227891,0.31425
0.216393,0.315
0.220089,0.31575
0.205168,0.3165
0.232546,0.31725
0.223922,0.318
0.218857,0.31875
0.229397,0.3195
0.242675,0.32025
0.215161,0.321
0.221184,0.32175
0.223374,0.3225
0.233778,0.32325
0.212013,0.324
0.213929,0.32475
0.213929,0.3255
0.228987,0.32625
0.216804,0.327
0.207085,0.32775
0.233504,0.3285
0.211054,0.32925
0.214614,0.33
0.230082,0.33075
0.225838,0.3315
0.236926,0.33225
0.20818,0.333
0.237747,0.33375
0.219952,0.3345
0.228439,0.33525
0.208864,0.336
0.2205,0.33675
0.228439,0.3375
0.203115,0.33825
0.215024,0.339
0.223374,0.33975
0.217214,0.3405
0.205442,0.34125
0.225428,0.342
0.228439,0.34275
0.225154,0.3435
0.230355,0.34425
0.21475,0.345
0.207632,0.34575
0.211739,0.3465
0.209549,0.34725
0.23104,0.348
0.210233,0.34875
0.209823,0.3495
0.229945,0.35025
0.228987,0.351
0.217625,0.35175
0.206811,0.3525
0.217625,0.35325
0.219952,0.354
0.233093,0.35475
0.229671,0.3555
0.209001,0.35625
0.219678,0.357
0.210781,0.35775
0.20818,0.3585
0.217762,0.35925
0.215024,0.36
0.219678,0.36075
0.228302,0.3615
0.23323,0.36225
0.224196,0.363
0.213518,0.36375
0.227481,0.3645
0.230492,0.36525
0.219131,0.366
0.19148,0.36675
0.231998,0.3675
0.214477,0.36825
0.203252,0.369
0.21475,0.36975
0.209275,0.3705
0.225017,0.37125
