NMR signal (mV),time (s)
0.011612,0.0
1.306553,0.00075
0.514941,0.0015
0.515215,0.00225
0.516584,0.003
0.51631,0.00375
0.516447,0.0045
0.516447,0.00525
0.516721,0.006
0.516584,0.00675
0.516995,0.0075
0.517542,0.00825
0.517953,0.009
0.517405,0.00975
0.517405,0.0105
0.517405,0.01125
0.517679,0.012
0.517679,0.01275
0.51809,0.0135
0.518363,0.01425
0.518774,0.015
0.518363,0.01575
0.518227,0.0165
0.518774,0.01725
0.518363,0.018
0.518363,0.01875
0.519185,0.0195
0.519732,0.02025
0.519322,0.021
0.518774,0.02175
0.518911,0.0225
0.519048,0.02325
0.519459,0.024
0.519185,0.02475
0.519185,0.0255
0.519185,0.02625
0.519732,0.027
0.519322,0.02775
0.519459,0.0285
0.520143,0.02925
0.520006,0.03
0.519185,0.03075
0.519459,0.0315
0.520143,0.03225
0.520006,0.033
0.520006,0.03375
0.520143,0.0345
0.520006,0.03525
0.519869,0.036
0.520143,0.03675
0.519869,0.0375
0.519869,0.03825
0.519732,0.039
0.519595,0.03975
0.519869,0.0405
0.520006,0.04125
0.520006,0.042
0.520143,0.04275
0.519732,0.0435
0.520006,0.04425
0.519869,0.045
0.52069,0.04575
0.52069,0.0465
0.520827,0.04725
0.520143,0.048
0.519869,0.04875
0.519869,0.0495
0.520006,0.05025
0.520554,0.051
0.52028,0.05175
0.519869,0.0525
0.52069,0.05325
0.520417,0.054
0.52028,0.05475
0.520417,0.0555
0.520827,0.05625
0.519869,0.057
0.520143,0.05775
0.52069,0.0585
0.520006,0.05925
0.520143,0.06
0.520554,0.06075
0.520417,0.0615
0.52069,0.06225
0.521238,0.063
0.520554,0.06375
0.52069,0.0645
0.520554,0.06525
0.520554,0.066
0.520827,0.06675
0.520417,0.0675
0.520006,0.06825
0.521238,0.069
0.521101,0.06975
0.520554,0.0705
0.52028,0.07125
0.52028,0.072
0.520554,0.07275
0.52069,0.0735
0.520554,0.07425
0.52069,0.075
0.521101,0.07575
0.520417,0.0765
0.520554,0.07725
0.520964,0.078
0.519869,0.07875
0.520417,0.0795
0.520417,0.08025
0.520827,0.081
0.52069,0.08175
0.520827,0.0825
0.52069,0.08325
0.52069,0.084
0.520554,0.08475
0.520554,0.0855
0.520554,0.08625
0.52069,0.087
0.520143,0.08775
0.520006,0.0885
0.52069,0.08925
0.520143,0.09
0.52028,0.09075
0.519869,0.0915
0.520143,0.09225
0.520417,0.093
0.520417,0.09375
0.520554,0.0945
0.519869,0.09525
0.520417,0.096
0.520143,0.09675
0.520143,0.0975
0.520827,0.09825
0.519595,0.099
0.519732,0.09975
0.520006,0.1005
0.519732,0.10125
0.52069,0.102
0.520417,0.10275
0.520006,0.1035
0.52028,0.10425
0.52028,0.105
0.52028,0.10575
0.520554,0.1065
0.519869,0.10725
0.519869,0.108
0.520417,0.10875
0.520143,0.1095
0.519869,0.11025
0.52028,0.111
0.520417,0.11175
0.520417,0.1125
0.520143,0.11325
0.520143,0.114
0.519732,0.11475
0.52069,0.1155
0.519869,0.11625
0.519732,0.117
0.519595,0.11775
0.519595,0.1185
0.519732,0.11925
0.520143,0.12
0.519322,0.12075
0.519322,0.1215
0.519459,0.12225
0.519459,0.123
0.519869,0.12375
0.519595,0.1245
0.520417,0.12525
0.520417,0.126
0.520006,0.12675
0.520006,0.1275
0.520143,0.12825
0.519732,0.129
0.519459,0.12975
0.519048,0.1305
0.520143,0.13125
1.306553,0.132
0.075037,0.13275
0.069378,0.1335
0.055462,0.13425
0.055552,0.135
0.067919,0.13575
0.052998,0.1365
0.06217,0.13725
0.055736,0.138
0.075264,0.13875
0.057516,0.1395
0.064771,0.14025
0.057058,0.141
0.040084,0.14175
0.057653,0.1425
0.064176,0.14325
0.063765,0.144
0.062854,0.14475
0.054868,0.1455
0.052541,0.14625
0.051082,0.147
0.066229,0.14775
0.05213,0.1485
0.050898,0.14925
0.053957,0.15
0.062807,0.15075
0.061075,0.1515
0.051856,0.15225
0.068693,0.153
0.05204,0.15375
0.065318,0.1545
0.050487,0.15525
0.058611,0.156
0.052998,0.15675
0.058611,0.1575
0.056784,0.15825
0.049713,0.159
0.059706,0.15975
0.048845,0.1605
0.044738,0.16125
0.053957,0.162
0.050214,0.16275
0.051172,0.1635
0.059158,0.16425
0.062396,0.165
0.067919,0.16575
0.050077,0.1665
0.065134,0.16725
0.056784,0.168
0.051356,0.16875
0.049029,0.1695
0.04775,0.17025
0.049029,0.171
0.046154,0.17175
0.055689,0.1725
0.052725,0.17325
0.052541,0.174
0.053636,0.17475
0.049029,0.1755
0.048434,0.17625
0.052404,0.177
0.044648,0.17775
0.065271,0.1785
0.050945,0.17925
0.044875,0.18
0.050214,0.18075
0.057058,0.1815
0.057242,0.18225
0.055963,0.183
0.048982,0.18375
0.067187,0.1845
0.048571,0.18525
0.044054,0.186
0.054731,0.18675
0.05432,0.1875
0.061075,0.18825
0.043369,0.189
0.069925,0.18975
0.057105,0.1905
0.049803,0.19125
0.060069,0.192
0.055736,0.19275
0.045696,0.1935
0.04378,0.19425
0.059385,0.195
0.052677,0.19575
0.04547,0.1965
0.051309,0.19725
